goalkeepers,,,
Player,Team,Points,Cost
Cech,Arsenal,61,£5.7
Hart,Man City,53,£5.7
de Gea,Man Utd,46,£5.6
Courtois,Chelsea,7,£5.2
Howard,Everton,57,£5.1
Lloris,Spurs,54,£5.1
Begovic,Chelsea,42,£5.0
Mignolet,Liverpool,45,£5.0
Stekelenburg,Southampton,45,£5.0
Adrián,West Ham,31,£5.0
Forster,Southampton,0,£4.9
Fabianski,Swansea,38,£4.9
Foster,West Brom,0,£4.9
Caballero,Man City,5,£4.8
Butland,Stoke,67,£4.8
Pantilimon,Sunderland,49,£4.8
Myhill,West Brom,63,£4.8
Ospina,Arsenal,0,£4.7
Valdés,Man Utd,0,£4.7
Gomes,Watford,65,£4.7
Boruc,Bournemouth,18,£4.5
Blackman,Chelsea,0,£4.5
Amelia,Chelsea,0,£4.5
Schmeichel,Leicester,36,£4.5
Wright,Man City,0,£4.5
Romero,Man Utd,21,£4.5
Gazzaniga,Southampton,0,£4.5
Randolph,West Ham,16,£4.5
Guzan,Aston Villa,36,£4.4
Bunn,Aston Villa,0,£4.4
Player,Team,Points,Cost
Federici,Bournemouth,7,£4.4
Allsop,Bournemouth,1,£4.4
Speroni,Crystal Palace,0,£4.4
Robles,Everton,0,£4.4
Bogdan,Liverpool,0,£4.4
Krul,Newcastle,23,£4.4
Ruddy,Norwich,35,£4.4
Given,Stoke,0,£4.4
Haugaard,Stoke,0,£4.4
Nordfeldt,Swansea,0,£4.4
Arlauskis,Watford,1,£4.4
Lindegaard,West Brom,0,£4.4
Johnstone,Man Utd,0,£4.3
Davis K,Southampton,2,£4.3
Vorm,Spurs,2,£4.3
Mannone,Sunderland,0,£4.3
Macey,Arsenal,0,£4.0
McCarthy,Crystal Palace,18,£4.0
Hennessey,Crystal Palace,27,£4.0
Maddison,Leicester,0,£4.0
Woodman,Newcastle,0,£4.0
Elliot,Newcastle,23,£4.0
Kean,Norwich,0,£4.0
Tremmel,Swansea,0,£4.0
Gilmartin,Watford,0,£4.0
Rose,West Brom,0,£4.0
Spiegel,West Ham,0,£4.0
Schwarzer,Leicester,0,£3.9
Darlow,Newcastle,0,£3.9
Rudd,Norwich,0,£3.9
Player,Team,Points,Cost
Federici,Bournemouth,7,£4.4
Allsop,Bournemouth,1,£4.4
Speroni,Crystal Palace,0,£4.4
Robles,Everton,0,£4.4
Bogdan,Liverpool,0,£4.4
Krul,Newcastle,23,£4.4
Ruddy,Norwich,35,£4.4
Given,Stoke,0,£4.4
Haugaard,Stoke,0,£4.4
Nordfeldt,Swansea,0,£4.4
Arlauskis,Watford,1,£4.4
Lindegaard,West Brom,0,£4.4
Johnstone,Man Utd,0,£4.3
Davis K,Southampton,2,£4.3
Vorm,Spurs,2,£4.3
Mannone,Sunderland,0,£4.3
Macey,Arsenal,0,£4.0
McCarthy,Crystal Palace,18,£4.0
Hennessey,Crystal Palace,27,£4.0
Maddison,Leicester,0,£4.0
Woodman,Newcastle,0,£4.0
Elliot,Newcastle,23,£4.0
Kean,Norwich,0,£4.0
Tremmel,Swansea,0,£4.0
Gilmartin,Watford,0,£4.0
Rose,West Brom,0,£4.0
Spiegel,West Ham,0,£4.0
Schwarzer,Leicester,0,£3.9
Darlow,Newcastle,0,£3.9
Rudd,Norwich,0,£3.9
defenders,,,
Player,Team,Points,Cost
Smalling,Man Utd,68,£6.8
Terry,Chelsea,18,£6.6
Ivanovic,Chelsea,24,£6.5
Otamendi,Man City,33,£6.5
Kolarov,Man City,71,£6.3
Kompany,Man City,58,£6.3
Cahill,Chelsea,25,£6.2
Baines,Everton,0,£6.1
Koscielny,Arsenal,55,£6.0
Bellerín,Arsenal,56,£5.9
Monreal,Arsenal,58,£5.9
Coleman,Everton,39,£5.9
Azpilicueta,Chelsea,43,£5.8
Zabaleta,Man City,3,£5.7
Baba Rahman,Chelsea,8,£5.6
Darmian,Man Utd,42,£5.6
van Dijk,Southampton,47,£5.6
Funes Mori,Everton,20,£5.5
Stones,Everton,35,£5.5
Skrtel,Liverpool,53,£5.5
Sagna,Man City,60,£5.5
Rojo,Man Utd,31,£5.5
Vertonghen,Spurs,49,£5.5
Cresswell,West Ham,43,£5.5
Zouma,Chelsea,47,£5.4
Clyne,Liverpool,41,£5.4
Fonte,Southampton,46,£5.4
Alderweireld,Spurs,67,£5.4
Mertesacker,Arsenal,26,£5.3
Dann,Crystal Palace,58,£5.3
Clichy,Man City,0,£5.3
Demichelis,Man City,6,£5.3
Mangala,Man City,28,£5.3
Shaw,Man Utd,27,£5.3
Bertrand,Southampton,27,£5.3
Gibbs,Arsenal,12,£5.2
Debuchy,Arsenal,3,£5.2
Jagielka,Everton,28,£5.2
Jones,Man Utd,26,£5.2
Caulker,Southampton,9,£5.2
Rose,Spurs,38,£5.2
Dier,Spurs,50,£5.2
Valencia,Man Utd,17,£5.1
Dawson,West Brom,50,£5.1
Schlupp,Leicester,25,£5.0
Cédric,Southampton,40,£5.0
Walker,Spurs,48,£5.0
Trippier,Spurs,1,£5.0
Johnson,Stoke,51,£5.0
Taylor,Swansea,36,£5.0
McAuley,West Brom,43,£5.0
Jenkinson,West Ham,22,£5.0
Reid,West Ham,24,£5.0
Tomkins,West Ham,29,£5.0
Amavi,Aston Villa,32,£4.9
Djilobodji,Chelsea,0,£4.9
Lovren,Liverpool,32,£4.9
Moreno,Liverpool,37,£4.9
Janmaat,Newcastle,28,£4.9
Mbemba,Newcastle,28,£4.9
Pieters,Stoke,46,£4.9
Naughton,Swansea,36,£4.9
Williams,Swansea,32,£4.9
Fernández,Swansea,28,£4.9
Ogbonna,West Ham,17,£4.9
Lescott,Aston Villa,17,£4.8
Sakho,Liverpool,15,£4.8
Shawcross,Stoke,14,£4.8
Evans,West Brom,36,£4.8
Chambers,Arsenal,7,£4.7
Bacuna,Aston Villa,13,£4.7
Fuchs,Leicester,27,£4.7
McNair,Man Utd,4,£4.7
Fazio,Spurs,0,£4.7
Chester,West Brom,1,£4.7
Gabriel,Arsenal,27,£4.6
Martin,Norwich,29,£4.6
Wimmer,Spurs,0,£4.6
van Aanholt,Sunderland,30,£4.6
Cathcart,Watford,43,£4.6
Nyom,Watford,45,£4.6
Richards,Aston Villa,36,£4.5
Francis,Bournemouth,30,£4.5
Daniels,Bournemouth,28,£4.5
Souaré,Crystal Palace,31,£4.5
Galloway,Everton,33,£4.5
de Laet,Leicester,18,£4.5
Coloccini,Newcastle,20,£4.5
Wilson,Stoke,3,£4.5
Cameron,Stoke,27,£4.5
Player,Team,Points,Cost
Britos,Watford,15,£4.5
Crespo,Aston Villa,2,£4.4
Clark,Aston Villa,14,£4.4
Okore,Aston Villa,0,£4.4
Ilori,Aston Villa,0,£4.4
Cook,Bournemouth,24,£4.4
Ward,Crystal Palace,32,£4.4
Delaney,Crystal Palace,31,£4.4
Gomez,Liverpool,23,£4.4
Touré,Liverpool,2,£4.4
Flanagan,Liverpool,0,£4.4
Haidara,Newcastle,17,£4.4
Olsson,Norwich,18,£4.4
Gardos,Southampton,0,£4.4
Wollscheid,Stoke,39,£4.4
Yedlin,Sunderland,22,£4.4
Jones,Sunderland,34,£4.4
Amat,Swansea,0,£4.4
Tabanou,Swansea,0,£4.4
Aké,Watford,23,£4.4
Prödl,Watford,26,£4.4
Olsson,West Brom,21,£4.4
O'Brien,West Ham,0,£4.4
Hutton,Aston Villa,15,£4.3
Elphick,Bournemouth,8,£4.3
Kelly,Crystal Palace,25,£4.3
Hangeland,Crystal Palace,20,£4.3
Benalouane,Leicester,3,£4.3
Morgan,Leicester,29,£4.3
Huth,Leicester,26,£4.3
Dummett,Newcastle,17,£4.3
Mbabu,Newcastle,2,£4.3
Bassong,Norwich,22,£4.3
Whittaker,Norwich,10,£4.3
Wisdom,Norwich,14,£4.3
Davies,Spurs,22,£4.3
Kaboul,Sunderland,27,£4.3
O'Shea,Sunderland,22,£4.3
Brown,Sunderland,-1,£4.3
Bartley,Swansea,2,£4.3
Paredes,Watford,11,£4.3
Collins,West Ham,4,£4.3
Richardson,Aston Villa,6,£4.2
Mings,Bournemouth,1,£4.2
Distin,Bournemouth,14,£4.2
José Enrique,Liverpool,0,£4.2
Varela,Man Utd,0,£4.2
Lascelles,Newcastle,1,£4.2
Williamson,Newcastle,0,£4.2
Yoshida,Southampton,28,£4.2
Muniesa,Stoke,7,£4.2
Bardsley,Stoke,0,£4.2
Coates,Sunderland,18,£4.2
Matthews,Sunderland,1,£4.2
Rangel,Swansea,3,£4.2
Pocognoli,West Brom,0,£4.2
Wasilewski,Leicester,0,£4.1
Martina,Southampton,2,£4.1
Holebas,Watford,2,£4.1
Smith,Bournemouth,17,£4.0
Bennett,Bournemouth,0,£4.0
Croll,Crystal Palace,0,£4.0
Pennington,Everton,0,£4.0
Holgate,Everton,0,£4.0
Browning,Everton,9,£4.0
Chilwell,Leicester,0,£4.0
Simpson,Leicester,29,£4.0
Randall,Liverpool,0,£4.0
Maffeo,Man City,0,£4.0
Tuanzebe,Man Utd,0,£4.0
Borthwick-Jackson,Man Utd,1,£4.0
Good,Newcastle,0,£4.0
Sterry,Newcastle,0,£4.0
Targett,Southampton,21,£4.0
Alfei,Swansea,0,£4.0
Belkalem,Watford,0,£4.0
Knoyle,West Ham,0,£4.0
Henry,West Ham,0,£4.0
Kinsella,Aston Villa,0,£3.9
Cargill,Bournemouth,0,£3.9
Mariappa,Crystal Palace,2,£3.9
Hibbert,Everton,0,£3.9
Moore,Leicester,0,£3.9
Steven Taylor,Newcastle,7,£3.9
Ryan Bennett,Norwich,13,£3.9
Ekstrand,Watford,0,£3.9
Hoban,Watford,0,£3.9
Gamboa,West Brom,0,£3.9
Burke,West Ham,0,£3.9
Oxford,West Ham,7,£3.8
,,,
,,,
midfielders,,,
Player,Team,Points,Cost
Sánchez,Arsenal,76,£11.3
Hazard,Chelsea,44,£10.9
De Bruyne,Man City,69,£10.6
Silva,Man City,35,£9.9
Özil,Arsenal,90,£9.3
Pedro,Chelsea,38,£8.9
Sterling,Man City,60,£8.9
Mata,Man Utd,70,£8.7
Yaya Touré,Man City,58,£8.5
Fàbregas,Chelsea,37,£8.4
Coutinho,Liverpool,70,£8.4
Eriksen,Spurs,58,£8.4
Walcott,Arsenal,34,£8.3
Oscar,Chelsea,19,£8.2
Firmino,Liverpool,35,£8.1
Cazorla,Arsenal,41,£8.0
Ramsey,Arsenal,30,£8.0
Depay,Man Utd,35,£7.9
Mané,Southampton,61,£7.9
Payet,West Ham,74,£7.8
Lallana,Liverpool,27,£7.3
Barkley,Everton,85,£7.1
