goalkeepers,,,
Player,Team,Points,Cost
Cech,Arsenal,73,£5.7
de Gea,Man Utd,55,£5.7
Hart,Man City,60,£5.6
Courtois,Chelsea,14,£5.2
Howard,Everton,62,£5.1
Lloris,Spurs,67,£5.1
Mignolet,Liverpool,47,£5.0
Stekelenburg,Southampton,47,£5.0
Butland,Stoke,86,£5.0
Adrián,West Ham,50,£5.0
Begovic,Chelsea,42,£4.9
Forster,Southampton,0,£4.9
Foster,West Brom,0,£4.9
Caballero,Man City,5,£4.8
Pantilimon,Sunderland,56,£4.8
Fabianski,Swansea,47,£4.8
Myhill,West Brom,70,£4.8
Ospina,Arsenal,0,£4.7
Valdés,Man Utd,0,£4.7
Gomes,Watford,86,£4.7
Boruc,Bournemouth,33,£4.5
Blackman,Chelsea,0,£4.5
Amelia,Chelsea,0,£4.5
Schmeichel,Leicester,45,£4.5
Wright,Man City,0,£4.5
Gazzaniga,Southampton,5,£4.5
Randolph,West Ham,16,£4.5
Guzan,Aston Villa,42,£4.4
Federici,Bournemouth,7,£4.4
Allsop,Bournemouth,1,£4.4
Player,Team,Points,Cost
Speroni,Crystal Palace,0,£4.4
Bogdan,Liverpool,1,£4.4
Romero,Man Utd,21,£4.4
Ruddy,Norwich,35,£4.4
Given,Stoke,0,£4.4
Haugaard,Stoke,0,£4.4
Arlauskis,Watford,1,£4.4
Lindegaard,West Brom,0,£4.4
Bunn,Aston Villa,0,£4.3
Robles,Everton,0,£4.3
Johnstone,Man Utd,0,£4.3
Krul,Newcastle,23,£4.3
Vorm,Spurs,2,£4.3
Mannone,Sunderland,0,£4.3
Nordfeldt,Swansea,0,£4.3
Davis K,Southampton,2,£4.2
Hennessey,Crystal Palace,41,£4.1
Macey,Arsenal,0,£4.0
Maddison,Leicester,0,£4.0
Fulton,Liverpool,0,£4.0
Woodman,Newcastle,0,£4.0
Elliot,Newcastle,39,£4.0
Kean,Norwich,0,£4.0
Tremmel,Swansea,0,£4.0
Gilmartin,Watford,0,£4.0
Rose,West Brom,0,£4.0
Spiegel,West Ham,0,£4.0
McCarthy,Crystal Palace,18,£3.9
Schwarzer,Leicester,0,£3.9
Darlow,Newcastle,0,£3.9
Rudd,Norwich,6,£3.9
,,,
,,,
Player,Team,Points,Cost
Speroni,Crystal Palace,0,£4.4
Bogdan,Liverpool,1,£4.4
Romero,Man Utd,21,£4.4
Ruddy,Norwich,35,£4.4
Given,Stoke,0,£4.4
Haugaard,Stoke,0,£4.4
Arlauskis,Watford,1,£4.4
Lindegaard,West Brom,0,£4.4
Bunn,Aston Villa,0,£4.3
Robles,Everton,0,£4.3
Johnstone,Man Utd,0,£4.3
Krul,Newcastle,23,£4.3
Vorm,Spurs,2,£4.3
Mannone,Sunderland,0,£4.3
Nordfeldt,Swansea,0,£4.3
Davis K,Southampton,2,£4.2
Hennessey,Crystal Palace,41,£4.1
Macey,Arsenal,0,£4.0
Maddison,Leicester,0,£4.0
Fulton,Liverpool,0,£4.0
Woodman,Newcastle,0,£4.0
Elliot,Newcastle,39,£4.0
Kean,Norwich,0,£4.0
Tremmel,Swansea,0,£4.0
Gilmartin,Watford,0,£4.0
Rose,West Brom,0,£4.0
Spiegel,West Ham,0,£4.0
McCarthy,Crystal Palace,18,£3.9
Schwarzer,Leicester,0,£3.9
Darlow,Newcastle,0,£3.9
Rudd,Norwich,6,£3.9
,,,
,,,
defenders,,,
Player,Team,Points,Cost
Smalling,Man Utd,76,£6.8
Terry,Chelsea,20,£6.6
Ivanovic,Chelsea,41,£6.5
Otamendi,Man City,35,£6.5
Kolarov,Man City,73,£6.5
Cahill,Chelsea,27,£6.2
Kompany,Man City,58,£6.2
Baines,Everton,4,£6.1
Koscielny,Arsenal,66,£6.0
Monreal,Arsenal,69,£6.0
Bellerín,Arsenal,66,£5.9
Coleman,Everton,44,£5.9
Alderweireld,Spurs,80,£5.9
Azpilicueta,Chelsea,46,£5.8
Zabaleta,Man City,3,£5.7
Baba Rahman,Chelsea,10,£5.6
Skrtel,Liverpool,53,£5.6
Zouma,Chelsea,52,£5.5
Dann,Crystal Palace,75,£5.5
Funes Mori,Everton,23,£5.5
Stones,Everton,40,£5.5
Sagna,Man City,69,£5.5
Darmian,Man Utd,50,£5.5
van Dijk,Southampton,52,£5.5
Vertonghen,Spurs,58,£5.5
Cresswell,West Ham,61,£5.5
Clyne,Liverpool,44,£5.4
Fonte,Southampton,50,£5.4
Mertesacker,Arsenal,36,£5.3
Clichy,Man City,2,£5.3
Demichelis,Man City,7,£5.3
Mangala,Man City,30,£5.3
Shaw,Man Utd,27,£5.3
Bertrand,Southampton,32,£5.3
Dier,Spurs,65,£5.3
Gibbs,Arsenal,15,£5.2
Jagielka,Everton,28,£5.2
Rojo,Man Utd,31,£5.2
Caulker,Southampton,9,£5.2
Rose,Spurs,40,£5.2
Debuchy,Arsenal,3,£5.1
Jones,Man Utd,28,£5.1
Valencia,Man Utd,17,£5.1
Walker,Spurs,63,£5.1
Johnson,Stoke,65,£5.1
Dawson,West Brom,60,£5.1
Moreno,Liverpool,40,£5.0
Trippier,Spurs,1,£5.0
Pieters,Stoke,59,£5.0
McAuley,West Brom,53,£5.0
Jenkinson,West Ham,23,£5.0
Tomkins,West Ham,48,£5.0
Amavi,Aston Villa,32,£4.9
Lovren,Liverpool,34,£4.9
Janmaat,Newcastle,38,£4.9
Mbemba,Newcastle,41,£4.9
Cédric,Southampton,47,£4.9
Taylor,Swansea,44,£4.9
Reid,West Ham,33,£4.9
Ogbonna,West Ham,35,£4.9
Djilobodji,Chelsea,0,£4.8
Schlupp,Leicester,26,£4.8
Shawcross,Stoke,27,£4.8
Williams,Swansea,43,£4.8
Fernández,Swansea,40,£4.8
Evans,West Brom,39,£4.8
Bacuna,Aston Villa,17,£4.7
Lescott,Aston Villa,28,£4.7
Fuchs,Leicester,36,£4.7
Sakho,Liverpool,16,£4.7
McNair,Man Utd,6,£4.7
Fazio,Spurs,0,£4.7
Naughton,Swansea,38,£4.7
Nyom,Watford,69,£4.7
Chambers,Arsenal,13,£4.6
Wimmer,Spurs,0,£4.6
van Aanholt,Sunderland,34,£4.6
Cathcart,Watford,61,£4.6
Chester,West Brom,1,£4.6
Daniels,Bournemouth,47,£4.5
Souaré,Crystal Palace,41,£4.5
de Laet,Leicester,19,£4.5
Coloccini,Newcastle,37,£4.5
Wilson,Stoke,3,£4.5
Wollscheid,Stoke,54,£4.5
Britos,Watford,33,£4.5
Gabriel,Arsenal,27,£4.4
Crespo,Aston Villa,2,£4.4
Clark,Aston Villa,14,£4.4
Okore,Aston Villa,5,£4.4
Richards,Aston Villa,36,£4.4
,,,
,,,
,Team,Points,Cost
Ilori,Aston Villa,0,£4.4
Ward,Crystal Palace,44,£4.4
Delaney,Crystal Palace,45,£4.4
Galloway,Everton,39,£4.4
Touré,Liverpool,2,£4.4
Flanagan,Liverpool,0,£4.4
Martin,Norwich,32,£4.4
Olsson,Norwich,23,£4.4
Gardos,Southampton,0,£4.4
Cameron,Stoke,39,£4.4
Yedlin,Sunderland,23,£4.4
Jones,Sunderland,37,£4.4
Amat,Swansea,0,£4.4
Tabanou,Swansea,0,£4.4
Aké,Watford,51,£4.4
O'Brien,West Ham,0,£4.4
Francis,Bournemouth,40,£4.3
Cook,Bournemouth,38,£4.3
Elphick,Bournemouth,8,£4.3
Kelly,Crystal Palace,25,£4.3
Hangeland,Crystal Palace,20,£4.3
Benalouane,Leicester,3,£4.3
Morgan,Leicester,38,£4.3
Huth,Leicester,33,£4.3
Gomez,Liverpool,23,£4.3
Haidara,Newcastle,17,£4.3
Dummett,Newcastle,28,£4.3
Mbabu,Newcastle,2,£4.3
Bassong,Norwich,27,£4.3
Wisdom,Norwich,16,£4.3
Kaboul,Sunderland,32,£4.3
O'Shea,Sunderland,25,£4.3
Brown,Sunderland,-1,£4.3
Bartley,Swansea,3,£4.3
Prödl,Watford,26,£4.3
Paredes,Watford,12,£4.3
Olsson,West Brom,31,£4.3
Collins,West Ham,16,£4.3
Richardson,Aston Villa,7,£4.2
Hutton,Aston Villa,19,£4.2
Mings,Bournemouth,1,£4.2
Distin,Bournemouth,14,£4.2
José Enrique,Liverpool,0,£4.2
Varela,Man Utd,2,£4.2
Lascelles,Newcastle,1,£4.2
Williamson,Newcastle,0,£4.2
Yoshida,Southampton,30,£4.2
Muniesa,Stoke,7,£4.2
Bardsley,Stoke,0,£4.2
Coates,Sunderland,21,£4.2
Matthews,Sunderland,1,£4.2
Pocognoli,West Brom,0,£4.2
Simpson,Leicester,38,£4.1
Whittaker,Norwich,10,£4.1
Martina,Southampton,2,£4.1
Davies,Spurs,28,£4.1
Rangel,Swansea,10,£4.1
Holebas,Watford,2,£4.1
Smith,Bournemouth,36,£4.0
Bennett,Bournemouth,0,£4.0
Croll,Crystal Palace,0,£4.0
Pennington,Everton,0,£4.0
Holgate,Everton,0,£4.0
Browning,Everton,9,£4.0
Chilwell,Leicester,0,£4.0
Wasilewski,Leicester,0,£4.0
Randall,Liverpool,0,£4.0
Maffeo,Man City,0,£4.0
Humphreys-Grant,Man City,0,£4.0
Tuanzebe,Man Utd,0,£4.0
Borthwick-Jackson,Man Utd,2,£4.0
Good,Newcastle,0,£4.0
Sterry,Newcastle,0,£4.0
Alfei,Swansea,0,£4.0
Belkalem,Watford,0,£4.0
Knoyle,West Ham,0,£4.0
