goalkeepers,,,
Player,Team,Points,Cost
Cech,Arsenal,105,£5.8
de Gea,Man Utd,80,£5.6
Hart,Man City,86,£5.5
Butland,Stoke,108,£5.3
Courtois,Chelsea,36,£5.2
Lloris,Spurs,85,£5.2
Howard,Everton,83,£5.0
Stekelenburg,Southampton,57,£5.0
Adrián,West Ham,70,£5.0
Mignolet,Liverpool,68,£4.9
Foster,West Brom,7,£4.9
Caballero,Man City,5,£4.8
Forster,Southampton,18,£4.8
Gomes,Watford,96,£4.8
Ospina,Arsenal,0,£4.7
Begovic,Chelsea,42,£4.7
Valdés,Man Utd,0,£4.7
Fabianski,Swansea,72,£4.7
Pantilimon,Watford,56,£4.7
Myhill,West Brom,81,£4.7
Boruc,Bournemouth,67,£4.5
Blackman,Chelsea,0,£4.5
Amelia,Chelsea,0,£4.5
Schmeichel,Leicester,80,£4.5
Wright,Man City,0,£4.5
Gazzaniga,Southampton,5,£4.5
Federici,Bournemouth,7,£4.4
Allsop,Bournemouth,1,£4.4
Romero,Man Utd,21,£4.4
Haugaard,Stoke,0,£4.4
Arlauskis,Watford,1,£4.4
Randolph,West Ham,16,£4.4
Player,Team,Points,Cost
Bunn,Aston Villa,22,£4.3
Speroni,Crystal Palace,0,£4.3
Robles,Everton,0,£4.3
Bogdan,Liverpool,1,£4.3
Johnstone,Man Utd,0,£4.3
Krul,Newcastle,23,£4.3
Given,Stoke,0,£4.3
Mannone,Sunderland,10,£4.3
Lindegaard,West Brom,0,£4.3
Guzan,Aston Villa,48,£4.2
Ruddy,Norwich,35,£4.2
Davis K,Southampton,2,£4.2
Vorm,Spurs,2,£4.2
Nordfeldt,Swansea,0,£4.2
Hennessey,Crystal Palace,61,£4.1
Macey,Arsenal,0,£4.0
Hamer,Leicester,0,£4.0
Fulton,Liverpool,0,£4.0
Ward,Liverpool,0,£4.0
Woodman,Newcastle,0,£4.0
Elliot,Newcastle,49,£4.0
Kean,Norwich,0,£4.0
Pickford,Sunderland,2,£4.0
Tremmel,Swansea,0,£4.0
Gilmartin,Watford,0,£4.0
Spiegel,West Ham,0,£4.0
Maddison,Leicester,0,£3.9
Darlow,Newcastle,3,£3.9
Rudd,Norwich,26,£3.9
Rose,West Brom,0,£3.9
McCarthy,Crystal Palace,18,£3.8
Schwarzer,Leicester,0,£3.8
,,,
Player,Team,Points,Cost
Bunn,Aston Villa,22,£4.3
Speroni,Crystal Palace,0,£4.3
Robles,Everton,0,£4.3
Bogdan,Liverpool,1,£4.3
Johnstone,Man Utd,0,£4.3
Krul,Newcastle,23,£4.3
Given,Stoke,0,£4.3
Mannone,Sunderland,10,£4.3
Lindegaard,West Brom,0,£4.3
Guzan,Aston Villa,48,£4.2
Ruddy,Norwich,35,£4.2
Davis K,Southampton,2,£4.2
Vorm,Spurs,2,£4.2
Nordfeldt,Swansea,0,£4.2
Hennessey,Crystal Palace,61,£4.1
Macey,Arsenal,0,£4.0
Hamer,Leicester,0,£4.0
Fulton,Liverpool,0,£4.0
Ward,Liverpool,0,£4.0
Woodman,Newcastle,0,£4.0
Elliot,Newcastle,49,£4.0
Kean,Norwich,0,£4.0
Pickford,Sunderland,2,£4.0
Tremmel,Swansea,0,£4.0
Gilmartin,Watford,0,£4.0
Spiegel,West Ham,0,£4.0
Maddison,Leicester,0,£3.9
Darlow,Newcastle,3,£3.9
Rudd,Norwich,26,£3.9
Rose,West Brom,0,£3.9
McCarthy,Crystal Palace,18,£3.8
Schwarzer,Leicester,0,£3.8
,,,
defenders,,,
Player,Team,Points,Cost
Smalling,Man Utd,90,£6.7
Terry,Chelsea,38,£6.6
Ivanovic,Chelsea,62,£6.5
Otamendi,Man City,59,£6.5
Koscielny,Arsenal,89,£6.2
Kolarov,Man City,84,£6.2
Kompany,Man City,59,£6.2
Alderweireld,Spurs,99,£6.2
Bellerín,Arsenal,86,£6.1
Cahill,Chelsea,31,£6.1
Baines,Everton,27,£6.1
Monreal,Arsenal,85,£5.9
Dann,Crystal Palace,89,£5.8
Coleman,Everton,51,£5.8
Azpilicueta,Chelsea,70,£5.7
Zabaleta,Man City,9,£5.7
Sagna,Man City,93,£5.6
Cresswell,West Ham,83,£5.6
Funes Mori,Everton,46,£5.5
Stones,Everton,55,£5.5
Vertonghen,Spurs,72,£5.5
Baba Rahman,Chelsea,10,£5.4
Zouma,Chelsea,66,£5.4
Skrtel,Liverpool,53,£5.4
Darmian,Man Utd,64,£5.4
van Dijk,Southampton,75,£5.4
Mertesacker,Arsenal,55,£5.3
Clichy,Man City,12,£5.3
Demichelis,Man City,21,£5.3
Mangala,Man City,39,£5.3
Shaw,Man Utd,27,£5.3
Bertrand,Southampton,56,£5.3
Fonte,Southampton,80,£5.3
Dier,Spurs,80,£5.3
Johnson,Stoke,88,£5.3
Gibbs,Arsenal,23,£5.2
Caulker,Liverpool,11,£5.2
Clyne,Liverpool,59,£5.2
Walker,Spurs,74,£5.2
Debuchy,Arsenal,3,£5.1
Jagielka,Everton,35,£5.1
Valencia,Man Utd,17,£5.1
Rose,Spurs,50,£5.1
Dawson,West Brom,74,£5.1
Rojo,Man Utd,31,£5.0
Pieters,Stoke,75,£5.0
McAuley,West Brom,63,£5.0
Tomkins,West Ham,59,£5.0
Lovren,Liverpool,48,£4.9
Moreno,Liverpool,56,£4.9
Jones,Man Utd,31,£4.9
Mbemba,Newcastle,50,£4.9
Trippier,Spurs,8,£4.9
Jenkinson,West Ham,27,£4.9
Ogbonna,West Ham,47,£4.9
Amavi,Aston Villa,32,£4.8
Djilobodji,Chelsea,0,£4.8
Janmaat,Newcastle,48,£4.8
Cédric,Southampton,58,£4.8
Shawcross,Stoke,43,£4.8
Williams,Swansea,77,£4.8
Taylor,Swansea,63,£4.8
Fernández,Swansea,55,£4.8
Evans,West Brom,60,£4.8
Reid,West Ham,33,£4.8
Bacuna,Aston Villa,30,£4.7
Lescott,Aston Villa,47,£4.7
Fuchs,Leicester,66,£4.7
Schlupp,Leicester,26,£4.7
Sakho,Liverpool,37,£4.7
Fazio,Spurs,0,£4.7
Nyom,Watford,74,£4.7
Chambers,Arsenal,21,£4.6
Daniels,Bournemouth,81,£4.6
McNair,Man Utd,7,£4.6
Wimmer,Spurs,0,£4.6
van Aanholt,Sunderland,62,£4.6
Naughton,Swansea,49,£4.6
Cathcart,Watford,66,£4.6
Chester,West Brom,1,£4.6
Cissokho,Aston Villa,10,£4.5
Ward,Crystal Palace,59,£4.5
de Laet,Leicester,22,£4.5
Coloccini,Newcastle,46,£4.5
Wollscheid,Stoke,69,£4.5
Britos,Watford,38,£4.5
Crespo,Aston Villa,2,£4.4
Clark,Aston Villa,16,£4.4
Okore,Aston Villa,15,£4.4
Richards,Aston Villa,37,£4.4
Delaney,Crystal Palace,53,£4.4
Souaré,Crystal Palace,57,£4.4
Touré,Liverpool,6,£4.4
Ilori,Liverpool,0,£4.4
,,,
Player,Team,Points,Cost
Olsson,Norwich,25,£4.4
Gardos,Southampton,0,£4.4
Wilson,Stoke,4,£4.4
Yedlin,Sunderland,24,£4.4
Amat,Swansea,8,£4.4
Aké,Watford,53,£4.4
O'Brien,West Ham,0,£4.4
Gabriel,Arsenal,43,£4.3
Clark,Aston Villa,16,£4.3
Cook,Bournemouth,61,£4.3
Morgan,Leicester,66,£4.3
Huth,Leicester,67,£4.3
Gomez,Liverpool,23,£4.3
Dummett,Newcastle,42,£4.3
Martin,Norwich,46,£4.3
Pinto,Norwich,0,£4.3
Klose,Norwich,0,£4.3
Cameron,Stoke,44,£4.3
O'Shea,Sunderland,30,£4.3
Jones,Sunderland,42,£4.3
Kirchhoff,Sunderland,0,£4.3
Olsson,West Brom,39,£4.3
Collins,West Ham,32,£4.3
Francis,Bournemouth,55,£4.2
Elphick,Bournemouth,8,£4.2
Kelly,Crystal Palace,25,£4.2
Benalouane,Leicester,3,£4.2
José Enrique,Liverpool,0,£4.2
Varela,Man Utd,2,£4.2
Haidara,Newcastle,17,£4.2
Mbabu,Newcastle,2,£4.2
Lascelles,Newcastle,9,£4.2
Williamson,Newcastle,0,£4.2
Bassong,Norwich,48,£4.2
Wisdom,Norwich,16,£4.2
Muniesa,Stoke,7,£4.2
Bardsley,Stoke,0,£4.2
Kaboul,Sunderland,32,£4.2
Brown,Sunderland,5,£4.2
Coates,Sunderland,24,£4.2
Matthews,Sunderland,1,£4.2
Bartley,Swansea,4,£4.2
Prödl,Watford,27,£4.2
Paredes,Watford,15,£4.2
Pocognoli,West Brom,0,£4.2
Richardson,Aston Villa,8,£4.1
Hutton,Aston Villa,21,£4.1
Smith,Bournemouth,62,£4.1
Mings,Bournemouth,1,£4.1
Hangeland,Crystal Palace,25,£4.1
Simpson,Leicester,67,£4.1
Martina,Southampton,19,£4.1
Davies,Spurs,43,£4.1
Rangel,Swansea,20,£4.1
Distin,Bournemouth,15,£4.0
Croll,Crystal Palace,0,£4.0
Pennington,Everton,0,£4.0
Holgate,Everton,0,£4.0
Galloway,Everton,39,£4.0
Chilwell,Leicester,0,£4.0
Wasilewski,Leicester,0,£4.0
Randall,Liverpool,0,£4.0
Smith,Liverpool,1,£4.0
Humphreys-Grant,Man City,0,£4.0
Angelino,Man City,0,£4.0
Tuanzebe,Man Utd,0,£4.0
Borthwick-Jackson,Man Utd,10,£4.0
Good,Newcastle,0,£4.0
Sterry,Newcastle,0,£4.0
Whittaker,Norwich,10,£4.0
Yoshida,Southampton,32,£4.0
Beadling,Sunderland,0,£4.0
Alfei,Swansea,0,£4.0
Kingsley,Swansea,0,£4.0
Belkalem,Watford,0,£4.0
Holebas,Watford,4,£4.0
Knoyle,West Ham,0,£4.0
Henry,West Ham,0,£4.0
Hendrie,West Ham,0,£4.0
Kinsella,Aston Villa,0,£3.9
Cargill,Bournemouth,0,£3.9
Hibbert,Everton,0,£3.9
Browning,Everton,9,£3.9
Ryan Bennett,Norwich,33,£3.9
Ekstrand,Watford,0,£3.9
Hoban,Watford,0,£3.9
Gamboa,West Brom,0,£3.9
Burke,West Ham,0,£3.9
Mariappa,Crystal Palace,2,£3.8
Moore,Leicester,0,£3.8
Steven Taylor,Newcastle,7,£3.8
Targett,Southampton,50,£3.8
Oxford,West Ham,8,£3.7
,,,
,,,
,,,
midfielders,,,
Player,Team,Points,Cost
Sánchez,Arsenal,77,£10.8
Hazard,Chelsea,52,£10.8
De Bruyne,Man City,105,£10.7
Özil,Arsenal,135,£10.0
Silva,Man City,66,£9.9
Pedro,Chelsea,64,£8.8
Yaya Touré,Man City,100,£8.7
Sterling,Man City,78,£8.6
Fàbregas,Chelsea,64,£8.4
Eriksen,Spurs,99,£8.3
Walcott,Arsenal,63,£8.2
Mata,Man Utd,87,£8.2
Ramsey,Arsenal,79,£8.1
Oscar,Chelsea,54,£8.1
Payet,West Ham,90,£8.1
Coutinho,Liverpool,82,£8.0
Cazorla,Arsenal,41,£7.9
Firmino,Liverpool,87,£7.9
Depay,Man Utd,44,£7.8
Mané,Southampton,88,£7.5
Barkley,Everton,114,£7.3
Lallana,Liverpool,57,£7.3
Willian,Chelsea,89,£7.2
Mahrez,Leicester,163,£7.1
Wijnaldum,Newcastle,117,£7.0
Sigurdsson,Swansea,75,£7.0
Mirallas,Everton,24,£6.8
Nasri,Man City,15,£6.8
Lamela,Spurs,65,£6.8
Tadic,Southampton,97,£6.7
Ayew,Swansea,111,£6.7
Schweinsteiger,Man Utd,42,£6.6
Chadli,Spurs,43,£6.6
Arnautovic,Stoke,104,£6.6
Henderson,Liverpool,40,£6.5
Milner,Liverpool,71,£6.5
Herrera,Man Utd,51,£6.5
Shaqiri,Stoke,60,£6.5
Cabaye,Crystal Palace,82,£6.4
Fellaini,Man Utd,32,£6.2
Bolasie,Crystal Palace,61,£6.1
Deulofeu,Everton,73,£6.1
Navas,Man City,54,£6.1
Toivonen,Sunderland,23,£6.1
de Jong,Newcastle,20,£6.0
Lens,Sunderland,42,£6.0
Wilshere,Arsenal,0,£5.8
Townsend,Spurs,3,£5.8
Johnson,Sunderland,51,£5.8
Gradel,Bournemouth,16,£5.7
Iturbe,Bournemouth,1,£5.7
Sissoko,Newcastle,62,£5.7
Veretout,Aston Villa,49,£5.6
Lennon,Everton,23,£5.6
Fernandinho,Man City,59,£5.6
Young,Man Utd,34,£5.6
Thauvin,Newcastle,15,£5.6
Alli,Spurs,99,£5.6
Walters,Stoke,57,£5.6
Chamberlain,Arsenal,34,£5.5
Elneny,Arsenal,0,£5.5
Puncheon,Crystal Palace,58,£5.5
Januzaj,Man Utd,10,£5.5
Gouffran,Newcastle,8,£5.5
Ward-Prowse,Southampton,58,£5.5
Adam,Stoke,26,£5.5
Berghuis,Watford,5,£5.5
Traore,Chelsea,1,£5.4
Delph,Man City,29,£5.4
Brady,Norwich,70,£5.4
Noble,West Ham,63,£5.4
Traoré,Aston Villa,14,£5.3
Ritchie,Bournemouth,63,£5.3
Ramires,Chelsea,29,£5.3
Zaha,Crystal Palace,61,£5.3
Can,Liverpool,43,£5.3
Shelvey,Newcastle,50,£5.3
Jurado,Watford,46,£5.3
Grealish,Aston Villa,24,£5.2
Blind,Man Utd,62,£5.2
Colback,Newcastle,27,£5.2
Ramírez,Southampton,6,£5.2
Clasie,Southampton,25,£5.2
Dembélé,Spurs,56,£5.2
Montero,Swansea,35,£5.2
Brunt,West Brom,52,£5.2
Antonio,West Ham,50,£5.2
Kouyaté,West Ham,67,£5.2
Cleverley,Everton,35,£5.1
Schneiderlin,Man Utd,44,£5.1
Redmond,Norwich,70,£5.1
Afellay,Stoke,39,£5.1
Routledge,Swansea,23,£5.1
Sessegnon,West Brom,38,£5.1
Gardner,West Brom,41,£5.1
Lanzini,West Ham,56,£5.1
Atsu,Chelsea,0,£5.0
Sako,Crystal Palace,39,£5.0
McArthur,Crystal Palace,65,£5.0
Kanté,Leicester,67,£5.0
Gray,Leicester,2,£5.0
Sheyi Ojo,Liverpool,0,£5.0
Saivet,Newcastle,2,£5.0
Van Ginkel,Stoke,23,£5.0
Larsson,Sunderland,13,£5.0
Ki Sung-yueng,Swansea,45,£5.0
Amrabat,Watford,1,£5.0
Rosicky,Arsenal,0,£4.9
McGeady,Everton,0,£4.9
Albrighton,Leicester,79,£4.9
Allen,Liverpool,13,£4.9
Fernando,Man City,22,£4.9
Howson,Norwich,75,£4.9
Odjidja-Ofoe,Norwich,15,£4.9
,,,
,,,
,,,
Player,Team,Points,Cost
Mason,Spurs,23,£4.9
M'Vila,Sunderland,70,£4.9
Song,West Ham,13,£4.9
Moses,West Ham,31,£4.9
Adelaide,Arsenal,0,£4.8
Pienaar,Everton,2,£4.8
Carrick,Man Utd,26,£4.8
Davis,Southampton,67,£4.8
Pritchard,Spurs,1,£4.8
Rodwell,Sunderland,16,£4.8
Gómez,Sunderland,11,£4.8
Capoue,Watford,53,£4.8
Obiang,West Ham,24,£4.8
Arteta,Arsenal,6,£4.7
Arter,Bournemouth,25,£4.7
McCarthy,Everton,36,£4.7
Dyer,Leicester,18,£4.7
Hoolahan,Norwich,72,£4.7
Hesketh,Southampton,0,£4.7
Carroll,Spurs,21,£4.7
Odemwingie,Stoke,3,£4.7
Buckley,Sunderland,0,£4.7
Abdi,Watford,47,£4.7
McClean,West Brom,48,£4.7
Carles Gil,Aston Villa,33,£4.6
Gueye,Aston Villa,37,£4.6
Pugh,Bournemouth,34,£4.6
Matic,Chelsea,41,£4.6
Loftus-Cheek,Chelsea,4,£4.6
Jedinak,Crystal Palace,14,£4.6
Ledley,Crystal Palace,16,£4.6
Pereira,Man Utd,2,£4.6
Jarvis,Norwich,19,£4.6
Ireland,Stoke,9,£4.6
Cork,Swansea,32,£4.6
Morrison,West Brom,60,£4.6
Iwobi,Arsenal,4,£4.5
N'Zogbia,Aston Villa,2,£4.5
Lyden,Aston Villa,0,£4.5
King,Bournemouth,41,£4.5
Dymond,Crystal Palace,0,£4.5
