goalkeepers,,,
Player,Team,Points,Cost
Haidara,Newcastle,7,£4.5
Dummett,Newcastle,0,£4.5
Lascelles,Newcastle,0,£4.5
Bassong,Norwich,2,£4.5
Whittaker,Norwich,9,£4.5
Martin,Norwich,9,£4.5
Olsson,Norwich,0,£4.5
Yoshida,Southampton,2,£4.5
Gardos,Southampton,0,£4.5
Martina,Southampton,1,£4.5
Davies,Spurs,5,£4.5
Wilson,Stoke,0,£4.5
Cameron,Stoke,3,£4.5
Muniesa,Stoke,2,£4.5
Bardsley,Stoke,0,£4.5
Wollscheid,Stoke,1,£4.5
Kaboul,Sunderland,0,£4.5
Jones,Sunderland,0,£4.5
Brown,Sunderland,0,£4.5
Coates,Sunderland,0,£4.5
Matthews,Sunderland,1,£4.5
Bartley,Swansea,0,£4.5
Amat,Swansea,0,£4.5
Britos,Watford,0,£4.5
Aké,Watford,0,£4.5
Cathcart,Watford,9,£4.5
Prödl,Watford,8,£4.5
Layún,Watford,8,£4.5
Holebas,Watford,0,£4.5
Nyom,Watford,6,£4.5
Olsson,West Brom,5,£4.5
Pocognoli,West Brom,0,£4.5
Collins,West Ham,0,£4.5
O'Brien,West Ham,0,£4.5
Hutton,Aston Villa,0,£4.4
Mings,Bournemouth,0,£4.4
Distin,Bournemouth,0,£4.4
Kelly,Crystal Palace,0,£4.4
Hangeland,Crystal Palace,0,£4.4
Wasilewski,Leicester,0,£4.4
José Enrique,Liverpool,0,£4.4
Ilori,Liverpool,0,£4.4
Denayer,Man City,0,£4.4
Varela,Man Utd,0,£4.4
Blackett,Man Utd,0,£4.4
Williamson,Newcastle,0,£4.4
Wisdom,Norwich,0,£4.4
Chiriches,Spurs,0,£4.4
Yedlin,Spurs,0,£4.4
O'Shea,Sunderland,0,£4.4
Rangel,Swansea,0,£4.4
Angella,Watford,0,£4.4
Paredes,Watford,0,£4.4
Oxford,West Ham,6,£4.1
Senderos,Aston Villa,0,£4.0
Baker,Aston Villa,0,£4.0
Kinsella,Aston Villa,0,£4.0
Cargill,Bournemouth,0,£4.0
Smith,Bournemouth,1,£4.0
Mariappa,Crystal Palace,0,£4.0
Fryers,Crystal Palace,0,£4.0
Hibbert,Everton,0,£4.0
Browning,Everton,1,£4.0
Simpson,Leicester,0,£4.0
Moore,Leicester,0,£4.0
Steven Taylor,Newcastle,1,£4.0
Turner,Norwich,0,£4.0
Ryan Bennett,Norwich,0,£4.0
Targett,Southampton,1,£4.0
Roberge,Sunderland,0,£4.0
Tiendalli,Swansea,0,£4.0
