goalkeepers,,,
Player,Team,Points,Cost
Cech,Arsenal,127,£5.9
de Gea,Man Utd,102,£5.7
Hart,Man City,106,£5.6
Butland,Stoke,128,£5.3
Courtois,Chelsea,57,£5.2
Lloris,Spurs,106,£5.2
Forster,Southampton,46,£5.1
Adrián,West Ham,105,£5.0
Howard,Everton,83,£4.9
Mignolet,Liverpool,86,£4.9
Stekelenburg,Southampton,57,£4.9
Gomes,Watford,123,£4.9
Foster,West Brom,32,£4.9
Caballero,Man City,5,£4.8
Ospina,Arsenal,6,£4.7
Begovic,Chelsea,42,£4.7
Schmeichel,Leicester,107,£4.7
Fabianski,Swansea,99,£4.7
Pantilimon,Watford,56,£4.6
Boruc,Bournemouth,87,£4.5
Blackman,Chelsea,0,£4.5
Amelia,Chelsea,0,£4.5
Wright,Man City,0,£4.5
Gazzaniga,Southampton,5,£4.5
Haugaard,Stoke,0,£4.4
Myhill,West Brom,81,£4.4
Randolph,West Ham,16,£4.4
Bunn,Aston Villa,33,£4.3
Federici,Bournemouth,7,£4.3
,,,
,,,
,,,
Player,Team,Points,Cost
Robles,Everton,19,£4.3
Bogdan,Liverpool,1,£4.3
Romero,Man Utd,21,£4.3
Johnstone,Man Utd,0,£4.3
Krul,Newcastle,23,£4.3
Given,Stoke,0,£4.3
Mannone,Sunderland,24,£4.3
Speroni,Crystal Palace,0,£4.2
Hennessey,Crystal Palace,68,£4.2
Vorm,Spurs,2,£4.2
Nordfeldt,Swansea,0,£4.2
Guzan,Aston Villa,51,£4.1
Ruddy,Norwich,42,£4.1
Davis K,Southampton,2,£4.1
Macey,Arsenal,0,£4.0
Stanek,Everton,0,£4.0
Hamer,Leicester,0,£4.0
Ward,Liverpool,0,£4.0
Woodman,Newcastle,0,£4.0
Elliot,Newcastle,61,£4.0
Kean,Norwich,0,£4.0
Gilmartin,Watford,0,£4.0
Maddison,Leicester,0,£3.9
Darlow,Newcastle,3,£3.9
Rudd,Norwich,29,£3.9
Pickford,Sunderland,2,£3.9
Rose,West Brom,0,£3.9
Spiegel,West Ham,0,£3.9
McCarthy,Crystal Palace,20,£3.8
Schwarzer,Leicester,0,£3.8
,,,
,,,
,,,
Player,Team,Points,Cost
Robles,Everton,19,£4.3
Bogdan,Liverpool,1,£4.3
Romero,Man Utd,21,£4.3
Johnstone,Man Utd,0,£4.3
Krul,Newcastle,23,£4.3
Given,Stoke,0,£4.3
Mannone,Sunderland,24,£4.3
Speroni,Crystal Palace,0,£4.2
Hennessey,Crystal Palace,68,£4.2
Vorm,Spurs,2,£4.2
Nordfeldt,Swansea,0,£4.2
Guzan,Aston Villa,51,£4.1
Ruddy,Norwich,42,£4.1
Davis K,Southampton,2,£4.1
Macey,Arsenal,0,£4.0
Stanek,Everton,0,£4.0
Hamer,Leicester,0,£4.0
Ward,Liverpool,0,£4.0
Woodman,Newcastle,0,£4.0
Elliot,Newcastle,61,£4.0
Kean,Norwich,0,£4.0
Gilmartin,Watford,0,£4.0
Maddison,Leicester,0,£3.9
Darlow,Newcastle,3,£3.9
Rudd,Norwich,29,£3.9
Pickford,Sunderland,2,£3.9
Rose,West Brom,0,£3.9
Spiegel,West Ham,0,£3.9
McCarthy,Crystal Palace,20,£3.8
Schwarzer,Leicester,0,£3.8
,,,
,,,
,,,
defenders,,,
Player,Team,Points,Cost
Terry,Chelsea,57,£6.6
Ivanovic,Chelsea,98,£6.6
Otamendi,Man City,77,£6.5
Smalling,Man Utd,102,£6.5
Alderweireld,Spurs,126,£6.4
Koscielny,Arsenal,104,£6.2
Kompany,Man City,66,£6.2
Bellerín,Arsenal,114,£6.1
Cahill,Chelsea,40,£6.1
Baines,Everton,29,£6.0
Kolarov,Man City,88,£6.0
Monreal,Arsenal,105,£5.9
Dann,Crystal Palace,110,£5.9
Azpilicueta,Chelsea,98,£5.8
Coleman,Everton,79,£5.8
Zabaleta,Man City,11,£5.7
Cresswell,West Ham,109,£5.7
Sagna,Man City,105,£5.6
Fonte,Southampton,109,£5.6
van Dijk,Southampton,115,£5.6
Funes Mori,Everton,76,£5.5
Baba Rahman,Chelsea,15,£5.4
Stones,Everton,58,£5.4
Darmian,Man Utd,76,£5.4
Vertonghen,Spurs,72,£5.4
Dier,Spurs,98,£5.4
Skrtel,Liverpool,53,£5.3
Clichy,Man City,37,£5.3
Demichelis,Man City,28,£5.3
Mangala,Man City,39,£5.3
Shaw,Man Utd,27,£5.3
Bertrand,Southampton,82,£5.3
Mertesacker,Arsenal,57,£5.2
Zouma,Chelsea,81,£5.2
Caulker,Liverpool,12,£5.2
Clyne,Liverpool,80,£5.2
Gibbs,Arsenal,25,£5.1
Jagielka,Everton,53,£5.1
Rose,Spurs,74,£5.1
Walker,Spurs,87,£5.1
