goalkeepers,,,
Player,Team,Points,Cost
Hart,Man City,32,£5.7
Cech,Arsenal,30,£5.5
de Gea,Man Utd,5,£5.4
Courtois,Chelsea,7,£5.3
Mignolet,Liverpool,22,£5.1
Begovic,Chelsea,13,£5.0
Howard,Everton,33,£5.0
Stekelenburg,Southampton,21,£5.0
Lloris,Spurs,24,£5.0
Fabianski,Swansea,21,£5.0
Foster,West Brom,0,£5.0
Adrián,West Ham,14,£5.0
Caballero,Man City,0,£4.9
Romero,Man Utd,21,£4.9
Forster,Southampton,0,£4.9
Pantilimon,Sunderland,13,£4.9
Ospina,Arsenal,0,£4.8
Valdés,Man Utd,0,£4.8
Myhill,West Brom,37,£4.6
Guzan,Aston Villa,16,£4.5
Boruc,Bournemouth,13,£4.5
Blackman,Chelsea,0,£4.5
Speroni,Crystal Palace,0,£4.5
Schmeichel,Leicester,11,£4.5
Wright,Man City,0,£4.5
Krul,Newcastle,22,£4.5
Ruddy,Norwich,15,£4.5
,,,
,,,
Player,Team,Points,Cost
Gazzaniga,Southampton,0,£4.5
Butland,Stoke,22,£4.5
Gomes,Watford,32,£4.5
Arlauskis,Watford,0,£4.5
Lindegaard,West Brom,0,£4.5
Randolph,West Ham,16,£4.5
Bunn,Aston Villa,0,£4.4
Federici,Bournemouth,0,£4.4
Robles,Everton,0,£4.4
Bogdan,Liverpool,0,£4.4
Johnstone,Man Utd,0,£4.4
Vorm,Spurs,2,£4.4
Given,Stoke,0,£4.4
Haugaard,Stoke,0,£4.4
Mannone,Sunderland,0,£4.4
Nordfeldt,Swansea,0,£4.4
Davis K,Southampton,0,£4.3
McCarthy,Crystal Palace,18,£4.1
Hennessey,Crystal Palace,0,£4.0
Maddison,Leicester,0,£4.0
Schwarzer,Leicester,0,£4.0
Darlow,Newcastle,0,£4.0
Elliot,Newcastle,0,£4.0
Rudd,Norwich,0,£4.0
Kean,Norwich,0,£4.0
Gilmartin,Watford,0,£4.0
Rose,West Brom,0,£4.0
Spiegel,West Ham,0,£4.0
,,,
,,,
,,,
Player,Team,Points,Cost
Gazzaniga,Southampton,0,£4.5
Butland,Stoke,22,£4.5
Gomes,Watford,32,£4.5
Arlauskis,Watford,0,£4.5
Lindegaard,West Brom,0,£4.5
Randolph,West Ham,16,£4.5
Bunn,Aston Villa,0,£4.4
Federici,Bournemouth,0,£4.4
Robles,Everton,0,£4.4
Bogdan,Liverpool,0,£4.4
Johnstone,Man Utd,0,£4.4
Vorm,Spurs,2,£4.4
Given,Stoke,0,£4.4
Haugaard,Stoke,0,£4.4
Mannone,Sunderland,0,£4.4
Nordfeldt,Swansea,0,£4.4
Davis K,Southampton,0,£4.3
McCarthy,Crystal Palace,18,£4.1
Hennessey,Crystal Palace,0,£4.0
Maddison,Leicester,0,£4.0
Schwarzer,Leicester,0,£4.0
Darlow,Newcastle,0,£4.0
Elliot,Newcastle,0,£4.0
Rudd,Norwich,0,£4.0
Kean,Norwich,0,£4.0
Gilmartin,Watford,0,£4.0
Rose,West Brom,0,£4.0
Spiegel,West Ham,0,£4.0
,,,
,,,
,,,
defenders,,,
Player,Team,Points,Cost
Terry,Chelsea,-1,£6.8
Ivanovic,Chelsea,9,£6.7
Otamendi,Man City,1,£6.5
Cahill,Chelsea,9,£6.4
Kompany,Man City,42,£6.4
Baines,Everton,0,£6.2
Smalling,Man Utd,26,£6.2
Koscielny,Arsenal,18,£6.0
Baba Rahman,Chelsea,0,£6.0
Azpilicueta,Chelsea,23,£6.0
Coleman,Everton,20,£6.0
Kolarov,Man City,46,£6.0
Zabaleta,Man City,0,£5.9
Darmian,Man Utd,23,£5.8
Cresswell,West Ham,30,£5.6
Bellerín,Arsenal,25,£5.5
Monreal,Arsenal,25,£5.5
Funes Mori,Everton,1,£5.5
Stones,Everton,24,£5.5
Skrtel,Liverpool,22,£5.5
Clyne,Liverpool,21,£5.5
Mangala,Man City,27,£5.5
Shaw,Man Utd,27,£5.5
van Dijk,Southampton,7,£5.5
Vertonghen,Spurs,25,£5.5
Mertesacker,Arsenal,3,£5.4
Zouma,Chelsea,19,£5.4
Jagielka,Everton,24,£5.4
Demichelis,Man City,4,£5.4
