goalkeepers,,,
Player,Team,Points,Cost
Cech,Arsenal,125,£5.9
de Gea,Man Utd,89,£5.6
Hart,Man City,98,£5.5
Courtois,Chelsea,50,£5.2
Lloris,Spurs,100,£5.2
Butland,Stoke,113,£5.2
Forster,Southampton,42,£5.0
Stekelenburg,Southampton,57,£5.0
Adrián,West Ham,79,£5.0
Howard,Everton,83,£4.9
Mignolet,Liverpool,77,£4.9
Foster,West Brom,21,£4.9
Caballero,Man City,5,£4.8
Gomes,Watford,111,£4.8
Ospina,Arsenal,0,£4.7
Begovic,Chelsea,42,£4.7
Fabianski,Swansea,80,£4.7
Schmeichel,Leicester,91,£4.6
Pantilimon,Watford,56,£4.6
Boruc,Bournemouth,73,£4.5
Blackman,Chelsea,0,£4.5
Amelia,Chelsea,0,£4.5
Wright,Man City,0,£4.5
Gazzaniga,Southampton,5,£4.5
Myhill,West Brom,81,£4.5
Federici,Bournemouth,7,£4.4
Romero,Man Utd,21,£4.4
Haugaard,Stoke,0,£4.4
Randolph,West Ham,16,£4.4
,,,
,,,
,,,
Player,Team,Points,Cost
Bunn,Aston Villa,31,£4.3
Speroni,Crystal Palace,0,£4.3
Robles,Everton,16,£4.3
Bogdan,Liverpool,1,£4.3
Johnstone,Man Utd,0,£4.3
Krul,Newcastle,23,£4.3
Given,Stoke,0,£4.3
Mannone,Sunderland,17,£4.3
Guzan,Aston Villa,48,£4.2
Hennessey,Crystal Palace,65,£4.2
Vorm,Spurs,2,£4.2
Nordfeldt,Swansea,0,£4.2
Ruddy,Norwich,37,£4.1
Davis K,Southampton,2,£4.1
Macey,Arsenal,0,£4.0
Stanek,Everton,0,£4.0
Hamer,Leicester,0,£4.0
Ward,Liverpool,0,£4.0
Woodman,Newcastle,0,£4.0
Elliot,Newcastle,57,£4.0
Kean,Norwich,0,£4.0
Gilmartin,Watford,0,£4.0
Spiegel,West Ham,0,£4.0
Maddison,Leicester,0,£3.9
Darlow,Newcastle,3,£3.9
Rudd,Norwich,29,£3.9
Pickford,Sunderland,2,£3.9
Rose,West Brom,0,£3.9
McCarthy,Crystal Palace,18,£3.8
Schwarzer,Leicester,0,£3.8
,,,
,,,
,,,
Player,Team,Points,Cost
Bunn,Aston Villa,31,£4.3
Speroni,Crystal Palace,0,£4.3
Robles,Everton,16,£4.3
Bogdan,Liverpool,1,£4.3
Johnstone,Man Utd,0,£4.3
Krul,Newcastle,23,£4.3
Given,Stoke,0,£4.3
Mannone,Sunderland,17,£4.3
Guzan,Aston Villa,48,£4.2
Hennessey,Crystal Palace,65,£4.2
