goalkeepers,,,
Player,Team,Points,Cost
Cech,Arsenal,123,£5.9
de Gea,Man Utd,89,£5.6
Hart,Man City,97,£5.5
Butland,Stoke,111,£5.3
Courtois,Chelsea,48,£5.2
Lloris,Spurs,97,£5.2
Stekelenburg,Southampton,57,£5.0
Adrián,West Ham,78,£5.0
Howard,Everton,83,£4.9
Mignolet,Liverpool,71,£4.9
Forster,Southampton,36,£4.9
Foster,West Brom,14,£4.9
Caballero,Man City,5,£4.8
Gomes,Watford,108,£4.8
Ospina,Arsenal,0,£4.7
Begovic,Chelsea,42,£4.7
Fabianski,Swansea,77,£4.7
Pantilimon,Watford,56,£4.6
Boruc,Bournemouth,71,£4.5
Blackman,Chelsea,0,£4.5
Amelia,Chelsea,0,£4.5
Schmeichel,Leicester,89,£4.5
Wright,Man City,0,£4.5
Gazzaniga,Southampton,5,£4.5
Myhill,West Brom,81,£4.5
Federici,Bournemouth,7,£4.4
Romero,Man Utd,21,£4.4
Haugaard,Stoke,0,£4.4
Randolph,West Ham,16,£4.4
,,,
,,,
,,,
Player,Team,Points,Cost
Bunn,Aston Villa,31,£4.3
Speroni,Crystal Palace,0,£4.3
Robles,Everton,14,£4.3
Bogdan,Liverpool,1,£4.3
Johnstone,Man Utd,0,£4.3
Krul,Newcastle,23,£4.3
Given,Stoke,0,£4.3
Mannone,Sunderland,14,£4.3
Guzan,Aston Villa,48,£4.2
Hennessey,Crystal Palace,64,£4.2
Ruddy,Norwich,35,£4.2
Vorm,Spurs,2,£4.2
Nordfeldt,Swansea,0,£4.2
Davis K,Southampton,2,£4.1
Macey,Arsenal,0,£4.0
Stanek,Everton,0,£4.0
Hamer,Leicester,0,£4.0
Ward,Liverpool,0,£4.0
Woodman,Newcastle,0,£4.0
Elliot,Newcastle,57,£4.0
Kean,Norwich,0,£4.0
Pickford,Sunderland,2,£4.0
Gilmartin,Watford,0,£4.0
Spiegel,West Ham,0,£4.0
Maddison,Leicester,0,£3.9
Darlow,Newcastle,3,£3.9
Rudd,Norwich,29,£3.9
Rose,West Brom,0,£3.9
McCarthy,Crystal Palace,18,£3.8
Schwarzer,Leicester,0,£3.8
,,,
,,,
,,,
Player,Team,Points,Cost
Bunn,Aston Villa,31,£4.3
Speroni,Crystal Palace,0,£4.3
Robles,Everton,14,£4.3
Bogdan,Liverpool,1,£4.3
Johnstone,Man Utd,0,£4.3
Krul,Newcastle,23,£4.3
Given,Stoke,0,£4.3
Mannone,Sunderland,14,£4.3
Guzan,Aston Villa,48,£4.2
Hennessey,Crystal Palace,64,£4.2
Ruddy,Norwich,35,£4.2
Vorm,Spurs,2,£4.2
Nordfeldt,Swansea,0,£4.2
Davis K,Southampton,2,£4.1
Macey,Arsenal,0,£4.0
Stanek,Everton,0,£4.0
Hamer,Leicester,0,£4.0
Ward,Liverpool,0,£4.0
Woodman,Newcastle,0,£4.0
Elliot,Newcastle,57,£4.0
Kean,Norwich,0,£4.0
Pickford,Sunderland,2,£4.0
Gilmartin,Watford,0,£4.0
Spiegel,West Ham,0,£4.0
Maddison,Leicester,0,£3.9
Darlow,Newcastle,3,£3.9
Rudd,Norwich,29,£3.9
Rose,West Brom,0,£3.9
McCarthy,Crystal Palace,18,£3.8
Schwarzer,Leicester,0,£3.8
,,,
,,,
,,,
defenders,,,
Player,Team,Points,Cost
Smalling,Man Utd,99,£6.7
Terry,Chelsea,56,£6.6
Ivanovic,Chelsea,82,£6.5
Otamendi,Man City,69,£6.5
Koscielny,Arsenal,103,£6.3
Alderweireld,Spurs,114,£6.3
Baines,Everton,28,£6.2
Bellerín,Arsenal,101,£6.1
Cahill,Chelsea,32,£6.1
Kolarov,Man City,86,£6.1
Kompany,Man City,59,£6.1
Monreal,Arsenal,101,£5.9
Dann,Crystal Palace,105,£5.8
Coleman,Everton,70,£5.8
Sagna,Man City,99,£5.8
Azpilicueta,Chelsea,87,£5.7
Zabaleta,Man City,9,£5.7
Cresswell,West Ham,95,£5.6
Funes Mori,Everton,59,£5.5
Vertonghen,Spurs,72,£5.5
Baba Rahman,Chelsea,10,£5.4
Zouma,Chelsea,81,£5.4
Stones,Everton,56,£5.4
Skrtel,Liverpool,53,£5.4
Darmian,Man Utd,72,£5.4
Fonte,Southampton,101,£5.4
van Dijk,Southampton,95,£5.4
Clichy,Man City,22,£5.3
Demichelis,Man City,28,£5.3
Mangala,Man City,39,£5.3
Shaw,Man Utd,27,£5.3
Bertrand,Southampton,74,£5.3
Dier,Spurs,93,£5.3
Johnson,Stoke,91,£5.3
Mertesacker,Arsenal,53,£5.2
Gibbs,Arsenal,24,£5.2
Caulker,Liverpool,12,£5.2
Clyne,Liverpool,61,£5.2
Walker,Spurs,80,£5.2
Jagielka,Everton,48,£5.1
Valencia,Man Utd,17,£5.1
Rose,Spurs,57,£5.1
Dawson,West Brom,87,£5.1
Rojo,Man Utd,31,£5.0
Pieters,Stoke,78,£5.0
McAuley,West Brom,72,£5.0
Tomkins,West Ham,67,£5.0
Moreno,Liverpool,58,£4.9
Mbemba,Newcastle,51,£4.9
Trippier,Spurs,24,£4.9
Jenkinson,West Ham,28,£4.9
Byram,West Ham,1,£4.9
Ogbonna,West Ham,47,£4.9
Amavi,Aston Villa,32,£4.8
Fuchs,Leicester,87,£4.8
Lovren,Liverpool,50,£4.8
Jones,Man Utd,31,£4.8
Janmaat,Newcastle,59,£4.8
Cédric,Southampton,76,£4.8
Shawcross,Stoke,44,£4.8
Williams,Swansea,83,£4.8
Taylor,Swansea,71,£4.8
Fernández,Swansea,60,£4.8
Evans,West Brom,67,£4.8
Reid,West Ham,45,£4.8
Bacuna,Aston Villa,43,£4.7
Schlupp,Leicester,26,£4.7
Sakho,Liverpool,39,£4.7
van Aanholt,Sunderland,74,£4.7
Nyom,Watford,78,£4.7
Chambers,Arsenal,21,£4.6
Lescott,Aston Villa,70,£4.6
Daniels,Bournemouth,92,£4.6
McNair,Man Utd,8,£4.6
Wimmer,Spurs,14,£4.6
Naughton,Swansea,52,£4.6
Cathcart,Watford,84,£4.6
Cissokho,Aston Villa,25,£4.5
Miazga,Chelsea,0,£4.5
Ward,Crystal Palace,63,£4.5
Coloccini,Newcastle,54,£4.5
Wollscheid,Stoke,71,£4.5
Britos,Watford,40,£4.5
Chester,West Brom,2,£4.5
Okore,Aston Villa,28,£4.4
Richards,Aston Villa,49,£4.4
Delaney,Crystal Palace,61,£4.4
Souaré,Crystal Palace,61,£4.4
Huth,Leicester,91,£4.4
Touré,Liverpool,7,£4.4
,,,
,,,
,,,
,,,
,,,
Player,Team,Points,Cost
Ilori,Liverpool,0,£4.4
Flanagan,Liverpool,0,£4.4
Olsson,Norwich,26,£4.4
Gardos,Southampton,0,£4.4
Wilson,Stoke,4,£4.4
Yedlin,Sunderland,25,£4.4
Amat,Swansea,9,£4.4
Aké,Watford,55,£4.4
O'Brien,West Ham,0,£4.4
Gabriel,Arsenal,55,£4.3
Clark,Aston Villa,17,£4.3
Cook,Bournemouth,63,£4.3
Morgan,Leicester,73,£4.3
Gomez,Liverpool,23,£4.3
