goalkeepers,,,
Player,Team,Points,Cost
Cech,Arsenal,127,£5.9
Hart,Man City,113,£5.7
de Gea,Man Utd,109,£5.7
Butland,Stoke,132,£5.4
Courtois,Chelsea,59,£5.3
Lloris,Spurs,118,£5.3
Forster,Southampton,51,£5.1
Adrián,West Ham,106,£5.0
Howard,Everton,83,£4.9
Mignolet,Liverpool,92,£4.9
Stekelenburg,Southampton,57,£4.9
Gomes,Watford,125,£4.9
Foster,West Brom,34,£4.9
Schmeichel,Leicester,119,£4.8
Caballero,Man City,6,£4.8
Ospina,Arsenal,12,£4.7
Fabianski,Swansea,106,£4.7
Begovic,Chelsea,42,£4.6
Pantilimon,Watford,56,£4.6
Boruc,Bournemouth,90,£4.5
Amelia,Chelsea,0,£4.5
Wright,Man City,0,£4.5
Gazzaniga,Southampton,5,£4.5
Haugaard,Stoke,0,£4.4
Randolph,West Ham,16,£4.4
Bunn,Aston Villa,33,£4.3
Federici,Bournemouth,7,£4.3
Robles,Everton,20,£4.3
Bogdan,Liverpool,1,£4.3
,,,
,,,
,,,
Player,Team,Points,Cost
Romero,Man Utd,21,£4.3
Johnstone,Man Utd,0,£4.3
Krul,Newcastle,23,£4.3
Given,Stoke,0,£4.3
Mannone,Sunderland,27,£4.3
Myhill,West Brom,81,£4.3
Speroni,Crystal Palace,0,£4.2
Hennessey,Crystal Palace,70,£4.2
Vorm,Spurs,2,£4.2
Nordfeldt,Swansea,0,£4.2
Guzan,Aston Villa,56,£4.1
Ruddy,Norwich,55,£4.1
Davis K,Southampton,2,£4.1
Macey,Arsenal,0,£4.0
Stanek,Everton,0,£4.0
Hamer,Leicester,0,£4.0
Ward,Liverpool,0,£4.0
Woodman,Newcastle,0,£4.0
Elliot,Newcastle,66,£4.0
Kean,Norwich,0,£4.0
Gilmartin,Watford,0,£4.0
Maddison,Leicester,0,£3.9
Darlow,Newcastle,3,£3.9
Rudd,Norwich,29,£3.9
Pickford,Sunderland,2,£3.9
Rose,West Brom,0,£3.9
Spiegel,West Ham,0,£3.9
McCarthy,Crystal Palace,20,£3.8
Schwarzer,Leicester,0,£3.7
,,,
,,,
,,,
,,,
Player,Team,Points,Cost
Romero,Man Utd,21,£4.3
Johnstone,Man Utd,0,£4.3
Krul,Newcastle,23,£4.3
Given,Stoke,0,£4.3
Mannone,Sunderland,27,£4.3
Myhill,West Brom,81,£4.3
Speroni,Crystal Palace,0,£4.2
Hennessey,Crystal Palace,70,£4.2
Vorm,Spurs,2,£4.2
Nordfeldt,Swansea,0,£4.2
Guzan,Aston Villa,56,£4.1
Ruddy,Norwich,55,£4.1
Davis K,Southampton,2,£4.1
Macey,Arsenal,0,£4.0
Stanek,Everton,0,£4.0
Hamer,Leicester,0,£4.0
Ward,Liverpool,0,£4.0
Woodman,Newcastle,0,£4.0
Elliot,Newcastle,66,£4.0
Kean,Norwich,0,£4.0
Gilmartin,Watford,0,£4.0
Maddison,Leicester,0,£3.9
Darlow,Newcastle,3,£3.9
Rudd,Norwich,29,£3.9
Pickford,Sunderland,2,£3.9
Rose,West Brom,0,£3.9
Spiegel,West Ham,0,£3.9
McCarthy,Crystal Palace,20,£3.8
Schwarzer,Leicester,0,£3.7
,,,
,,,
,,,
,,,
defenders,,,
Player,Team,Points,Cost
Terry,Chelsea,58,£6.6
Ivanovic,Chelsea,98,£6.6
Otamendi,Man City,82,£6.5
Smalling,Man Utd,107,£6.5
Alderweireld,Spurs,139,£6.5
Bellerín,Arsenal,126,£6.3
Kompany,Man City,75,£6.3
Koscielny,Arsenal,111,£6.2
Cahill,Chelsea,41,£6.1
Baines,Everton,30,£6.0
Kolarov,Man City,88,£5.9
Monreal,Arsenal,111,£5.8
Azpilicueta,Chelsea,99,£5.8
Dann,Crystal Palace,112,£5.8
Coleman,Everton,80,£5.8
Zabaleta,Man City,12,£5.7
Sagna,Man City,113,£5.7
van Dijk,Southampton,118,£5.7
Cresswell,West Ham,110,£5.7
Funes Mori,Everton,77,£5.5
Fonte,Southampton,110,£5.5
Baba Rahman,Chelsea,15,£5.4
Stones,Everton,59,£5.4
Darmian,Man Utd,85,£5.4
Vertonghen,Spurs,72,£5.4
Dier,Spurs,110,£5.4
Skrtel,Liverpool,52,£5.3
Clichy,Man City,45,£5.3
Demichelis,Man City,29,£5.3
Mangala,Man City,40,£5.3
Shaw,Man Utd,27,£5.3
Bertrand,Southampton,85,£5.3
Mertesacker,Arsenal,57,£5.2
Zouma,Chelsea,81,£5.2
Caulker,Liverpool,12,£5.2
Clyne,Liverpool,81,£5.2
Gibbs,Arsenal,26,£5.1
Jagielka,Everton,54,£5.1
Rose,Spurs,88,£5.1
Walker,Spurs,104,£5.1
Dawson,West Brom,103,£5.1
Daniels,Bournemouth,121,£5.0
Fuchs,Leicester,118,£5.0
Rojo,Man Utd,46,£5.0
Valencia,Man Utd,18,£5.0
Williams,Swansea,112,£5.0
Huth,Leicester,117,£4.9
Mbemba,Newcastle,53,£4.9
Trippier,Spurs,26,£4.9
Pieters,Stoke,89,£4.9
Johnson,Stoke,92,£4.9
McAuley,West Brom,81,£4.9
Byram,West Ham,7,£4.9
Tomkins,West Ham,67,£4.9
Ogbonna,West Ham,64,£4.9
Jenkinson,Arsenal,28,£4.8
Amavi,Aston Villa,32,£4.8
Lovren,Liverpool,58,£4.8
Jones,Man Utd,31,£4.8
Janmaat,Newcastle,65,£4.8
Cédric,Southampton,79,£4.8
Shawcross,Stoke,45,£4.8
Fernández,Swansea,85,£4.8
Reid,West Ham,45,£4.8
Bacuna,Aston Villa,50,£4.7
Schlupp,Leicester,31,£4.7
Sakho,Liverpool,48,£4.7
van Aanholt,Sunderland,87,£4.7
Taylor,Swansea,80,£4.7
Chambers,Arsenal,23,£4.6
Lescott,Aston Villa,73,£4.6
Moreno,Liverpool,65,£4.6
Wimmer,Spurs,31,£4.6
Cathcart,Watford,92,£4.6
Cissokho,Aston Villa,28,£4.5
Miazga,Chelsea,0,£4.5
Stewart,Liverpool,0,£4.5
McNair,Man Utd,9,£4.5
Wollscheid,Stoke,89,£4.5
Naughton,Swansea,56,£4.5
Britos,Watford,48,£4.5
Nyom,Watford,84,£4.5
Chester,West Brom,14,£4.5
Evans,West Brom,76,£4.5
Okore,Aston Villa,29,£4.4
Touré,Liverpool,28,£4.4
Ilori,Liverpool,0,£4.4
Flanagan,Liverpool,9,£4.4
Love,Man Utd,1,£4.4
Coloccini,Newcastle,54,£4.4
Olsson,Norwich,39,£4.4
Gardos,Southampton,0,£4.4
Wilson,Stoke,4,£4.4
,,,
,,,
Player,Team,Points,Cost
Teixeira,Stoke,1,£4.4
Yedlin,Sunderland,36,£4.4
Amat,Swansea,11,£4.4
Aké,Watford,65,£4.4
O'Brien,West Ham,0,£4.4
Gabriel,Arsenal,65,£4.3
Clark,Aston Villa,19,£4.3
Richards,Aston Villa,49,£4.3
Cook,Bournemouth,96,£4.3
Ward,Crystal Palace,69,£4.3
Delaney,Crystal Palace,70,£4.3
Morgan,Leicester,100,£4.3
O'Shea,Sunderland,39,£4.3
Kirchhoff,Sunderland,17,£4.3
Koné,Sunderland,16,£4.3
Olsson,West Brom,64,£4.3
Collins,West Ham,51,£4.3
Elphick,Bournemouth,8,£4.2
Souaré,Crystal Palace,60,£4.2
Simpson,Leicester,93,£4.2
Gomez,Liverpool,23,£4.2
José Enrique,Liverpool,0,£4.2
Varela,Man Utd,8,£4.2
Haidara,Newcastle,17,£4.2
Dummett,Newcastle,46,£4.2
Lascelles,Newcastle,14,£4.2
Bassong,Norwich,57,£4.2
Martin,Norwich,65,£4.2
Klose,Norwich,23,£4.2
Wisdom,Norwich,16,£4.2
Cameron,Stoke,57,£4.2
Muniesa,Stoke,21,£4.2
Bardsley,Stoke,15,£4.2
Kaboul,Sunderland,42,£4.2
Jones,Sunderland,44,£4.2
Brown,Sunderland,5,£4.2
Bartley,Swansea,4,£4.2
Prödl,Watford,39,£4.2
Paredes,Watford,26,£4.2
Richardson,Aston Villa,9,£4.1
Hutton,Aston Villa,26,£4.1
Francis,Bournemouth,75,£4.1
Smith,Bournemouth,83,£4.1
Mings,Bournemouth,1,£4.1
Kelly,Crystal Palace,28,£4.1
Mbabu,Newcastle,2,£4.1
Pinto,Norwich,7,£4.1
Martina,Southampton,24,£4.1
Davies,Spurs,51,£4.1
Rangel,Swansea,45,£4.1
Pocognoli,West Brom,4,£4.1
Mason,Aston Villa,0,£4.0
Distin,Bournemouth,17,£4.0
Wiggins,Bournemouth,0,£4.0
Clarke-Salter,Chelsea,0,£4.0
Croll,Crystal Palace,0,£4.0
Hangeland,Crystal Palace,25,£4.0
Pennington,Everton,0,£4.0
Holgate,Everton,0,£4.0
Chilwell,Leicester,0,£4.0
Wasilewski,Leicester,-1,£4.0
Randall,Liverpool,0,£4.0
Smith,Liverpool,1,£4.0
Humphreys-Grant,Man City,0,£4.0
Angelino,Man City,0,£4.0
Tuanzebe,Man Utd,0,£4.0
Fosu-Mensah,Man Utd,9,£4.0
Sterry,Newcastle,0,£4.0
Gibson,Newcastle,0,£4.0
Williams,Newcastle,0,£4.0
Yoshida,Southampton,51,£4.0
Walker-Peters,Spurs,0,£4.0
Roberge,Sunderland,0,£4.0
Beadling,Sunderland,0,£4.0
Eboué,Sunderland,0,£4.0
Kingsley,Swansea,8,£4.0
Holebas,Watford,14,£4.0
Henry,West Ham,0,£4.0
Hendrie,West Ham,0,£4.0
Galloway,Everton,39,£3.9
Hibbert,Everton,0,£3.9
Whittaker,Norwich,10,£3.9
Ryan Bennett,Norwich,39,£3.9
Targett,Southampton,60,£3.9
Ekstrand,Watford,0,£3.9
Kinsella,Aston Villa,0,£3.8
Browning,Everton,9,£3.8
Moore,Leicester,0,£3.8
Borthwick-Jackson,Man Utd,24,£3.8
Steven Taylor,Newcastle,17,£3.8
Hoban,Watford,0,£3.8
Gamboa,West Brom,0,£3.8
Mariappa,Crystal Palace,2,£3.7
Oxford,West Ham,10,£3.7
,,,
,,,
midfielders,,,
Player,Team,Points,Cost
Sánchez,Arsenal,104,£10.8
Hazard,Chelsea,66,£10.8
De Bruyne,Man City,105,£10.2
Silva,Man City,89,£9.9
Özil,Arsenal,174,£9.7
Pedro,Chelsea,82,£8.8
Eriksen,Spurs,141,£8.7
Sterling,Man City,92,£8.6
Yaya Touré,Man City,118,£8.5
Fàbregas,Chelsea,100,£8.4
Firmino,Liverpool,129,£8.3
Payet,West Ham,135,£8.3
Coutinho,Liverpool,105,£8.1
Mata,Man Utd,115,£8.1
Walcott,Arsenal,74,£8.0
Cazorla,Arsenal,41,£7.9
Oscar,Chelsea,66,£7.9
Ramsey,Arsenal,99,£7.8
Depay,Man Utd,53,£7.8
Mahrez,Leicester,216,£7.4
Lallana,Liverpool,89,£7.3
Mané,Southampton,106,£7.3
Sigurdsson,Swansea,129,£7.3
Willian,Chelsea,117,£7.1
Barkley,Everton,140,£7.1
Nasri,Man City,15,£6.8
Wijnaldum,Newcastle,137,£6.8
Lamela,Spurs,87,£6.8
Mirallas,Everton,34,£6.7
Schweinsteiger,Man Utd,43,£6.6
Chadli,Spurs,58,£6.6
Arnautovic,Stoke,140,£6.6
Ayew,Swansea,126,£6.6
Henderson,Liverpool,54,£6.5
Milner,Liverpool,98,£6.5
Herrera,Man Utd,65,£6.5
Tadic,Southampton,112,£6.5
Cabaye,Crystal Palace,94,£6.4
Shaqiri,Stoke,86,£6.3
Fellaini,Man Utd,38,£6.2
Alli,Spurs,138,£6.2
Navas,Man City,72,£6.1
Toivonen,Sunderland,24,£6.1
Bolasie,Crystal Palace,71,£6.0
de Jong,Newcastle,22,£6.0
Khazri,Sunderland,29,£6.0
Lens,Sunderland,43,£6.0
