goalkeepers,,,
Player,Team,Points,Cost
Cech,Arsenal,1,£5.5
Courtois,Chelsea,-2,£5.5
Hart,Man City,6,£5.5
de Gea,Man Utd,0,£5.4
Ospina,Arsenal,0,£5.0
Begovic,Chelsea,2,£5.0
Howard,Everton,2,£5.0
Mignolet,Liverpool,6,£5.0
Caballero,Man City,0,£5.0
Romero,Man Utd,8,£5.0
Valdés,Man Utd,0,£5.0
Forster,Southampton,0,£5.0
Stekelenburg,Southampton,1,£5.0
Lloris,Spurs,0,£5.0
Pantilimon,Sunderland,1,£5.0
Fabianski,Swansea,1,£5.0
Foster,West Brom,0,£5.0
Adrián,West Ham,11,£5.0
Guzan,Aston Villa,6,£4.5
Bunn,Aston Villa,0,£4.5
Boruc,Bournemouth,2,£4.5
Federici,Bournemouth,0,£4.5
Speroni,Crystal Palace,0,£4.5
Robles,Everton,0,£4.5
Schmeichel,Leicester,2,£4.5
Player,Team,Points,Cost
Bogdan,Liverpool,0,£4.5
Johnstone,Man Utd,0,£4.5
Lindegaard,Man Utd,0,£4.5
Krul,Newcastle,2,£4.5
Ruddy,Norwich,2,£4.5
Gazzaniga,Southampton,0,£4.5
Davis K,Southampton,0,£4.5
Vorm,Spurs,2,£4.5
Given,Stoke,0,£4.5
Butland,Stoke,2,£4.5
Haugaard,Stoke,0,£4.5
Mannone,Sunderland,0,£4.5
Nordfeldt,Swansea,0,£4.5
Gomes,Watford,2,£4.5
Arlauskis,Watford,0,£4.5
Myhill,West Brom,2,£4.5
Randolph,West Ham,0,£4.5
McCarthy,Crystal Palace,3,£4.0
Hennessey,Crystal Palace,0,£4.0
Schwarzer,Leicester,0,£4.0
Darlow,Newcastle,0,£4.0
Elliot,Newcastle,0,£4.0
Rudd,Norwich,0,£4.0
Gilmartin,Watford,0,£4.0
Rose,West Brom,0,£4.0
defenders,,,
Player,Team,Points,Cost
Terry,Chelsea,0,£7.0
Ivanovic,Chelsea,1,£7.0
Cahill,Chelsea,1,£6.5
Baines,Everton,0,£6.5
Koscielny,Arsenal,1,£6.0
Azpilicueta,Chelsea,6,£6.0
Coleman,Everton,0,£6.0
Zabaleta,Man City,0,£6.0
Kompany,Man City,14,£6.0
Smalling,Man Utd,9,£6.0
Darmian,Man Utd,8,£5.6
Mertesacker,Arsenal,1,£5.5
Bellerín,Arsenal,0,£5.5
Gibbs,Arsenal,0,£5.5
Debuchy,Arsenal,1,£5.5
Monreal,Arsenal,0,£5.5
Zouma,Chelsea,1,£5.5
Jagielka,Everton,1,£5.5
Stones,Everton,1,£5.5
Skrtel,Liverpool,6,£5.5
Clyne,Liverpool,7,£5.5
Kolarov,Man City,7,£5.5
Clichy,Man City,0,£5.5
Demichelis,Man City,1,£5.5
Mangala,Man City,6,£5.5
Jones,Man Utd,0,£5.5
Shaw,Man Utd,6,£5.5
Rojo,Man Utd,0,£5.5
Valencia,Man Utd,1,£5.5
Caulker,Southampton,0,£5.5
Bertrand,Southampton,0,£5.5
Fonte,Southampton,0,£5.5
Rose,Spurs,0,£5.5
Vertonghen,Spurs,1,£5.5
Trippier,Spurs,0,£5.5
Cresswell,West Ham,6,£5.5
Gabriel,Arsenal,0,£5.0
Chambers,Arsenal,0,£5.0
Amavi,Aston Villa,9,£5.0
Bacuna,Aston Villa,5,£5.0
Dann,Crystal Palace,2,£5.0
Fuchs,Leicester,1,£5.0
Schlupp,Leicester,3,£5.0
Sakho,Liverpool,0,£5.0
Lovren,Liverpool,5,£5.0
Moreno,Liverpool,0,£5.0
Sagna,Man City,6,£5.0
Evans,Man Utd,0,£5.0
McNair,Man Utd,0,£5.0
Janmaat,Newcastle,1,£5.0
Mbemba,Newcastle,1,£5.0
Cédric,Southampton,3,£5.0
Alderweireld,Spurs,2,£5.0
Walker,Spurs,0,£5.0
Dier,Spurs,1,£5.0
Fazio,Spurs,0,£5.0
Wimmer,Spurs,0,£5.0
Shawcross,Stoke,0,£5.0
Pieters,Stoke,1,£5.0
Johnson,Stoke,2,£5.0
van Aanholt,Sunderland,0,£5.0
Naughton,Swansea,1,£5.0
Williams,Swansea,0,£5.0
Taylor,Swansea,1,£5.0
Fernández,Swansea,-1,£5.0
Tabanou,Swansea,0,£5.0
Chester,West Brom,0,£5.0
Dawson,West Brom,1,£5.0
Lescott,West Brom,1,£5.0
McAuley,West Brom,0,£5.0
Jenkinson,West Ham,0,£5.0
Reid,West Ham,6,£5.0
Tomkins,West Ham,5,£5.0
Ogbonna,West Ham,5,£5.0
Gomez,Liverpool,11,£4.6
Crespo,Aston Villa,0,£4.5
Richardson,Aston Villa,1,£4.5
Hutton,Aston Villa,0,£4.5
Clark,Aston Villa,5,£4.5
Okore,Aston Villa,0,£4.5
Richards,Aston Villa,8,£4.5
Francis,Bournemouth,2,£4.5
Cook,Bournemouth,1,£4.5
Elphick,Bournemouth,2,£4.5
Daniels,Bournemouth,2,£4.5
Mings,Bournemouth,0,£4.5
Player,Team,Points,Cost
Mings,Bournemouth,0,£4.5
Distin,Bournemouth,0,£4.5
Aké,Chelsea,0,£4.5
Ward,Crystal Palace,2,£4.5
Kelly,Crystal Palace,0,£4.5
Delaney,Crystal Palace,9,£4.5
Souaré,Crystal Palace,7,£4.5
Hangeland,Crystal Palace,0,£4.5
Galloway,Everton,2,£4.5
Benalouane,Leicester,1,£4.5
Morgan,Leicester,1,£4.5
Wasilewski,Leicester,0,£4.5
de Laet,Leicester,1,£4.5
Huth,Leicester,1,£4.5
José Enrique,Liverpool,0,£4.5
Touré,Liverpool,0,£4.5
Ilori,Liverpool,0,£4.5
Flanagan,Liverpool,0,£4.5
Denayer,Man City,0,£4.5
Varela,Man Utd,0,£4.5
Blackett,Man Utd,0,£4.5
Coloccini,Newcastle,1,£4.5
Haidara,Newcastle,6,£4.5
Dummett,Newcastle,0,£4.5
Lascelles,Newcastle,0,£4.5
Williamson,Newcastle,0,£4.5
