goalkeepers,,,
Player,Team,Points,Cost
Coloccini,Newcastle,26,£4.5
Martin,Norwich,29,£4.5
Wilson,Stoke,3,£4.5
Britos,Watford,22,£4.5
Crespo,Aston Villa,2,£4.4
Player,Team,Points,Cost
Clark,Aston Villa,14,£4.4
Okore,Aston Villa,2,£4.4
Ilori,Aston Villa,0,£4.4
Francis,Bournemouth,36,£4.4
Ward,Crystal Palace,34,£4.4
Delaney,Crystal Palace,33,£4.4
Touré,Liverpool,2,£4.4
Flanagan,Liverpool,0,£4.4
Olsson,Norwich,19,£4.4
Gardos,Southampton,0,£4.4
Cameron,Stoke,33,£4.4
Wollscheid,Stoke,45,£4.4
Yedlin,Sunderland,22,£4.4
Jones,Sunderland,34,£4.4
Amat,Swansea,0,£4.4
Tabanou,Swansea,0,£4.4
Aké,Watford,29,£4.4
Prödl,Watford,26,£4.4
O'Brien,West Ham,0,£4.4
Cook,Bournemouth,34,£4.3
Elphick,Bournemouth,8,£4.3
Kelly,Crystal Palace,25,£4.3
Hangeland,Crystal Palace,20,£4.3
Benalouane,Leicester,3,£4.3
Morgan,Leicester,35,£4.3
Huth,Leicester,32,£4.3
Gomez,Liverpool,23,£4.3
Haidara,Newcastle,17,£4.3
Dummett,Newcastle,25,£4.3
Mbabu,Newcastle,2,£4.3
Bassong,Norwich,23,£4.3
Wisdom,Norwich,15,£4.3
Davies,Spurs,22,£4.3
Kaboul,Sunderland,28,£4.3
O'Shea,Sunderland,23,£4.3
Brown,Sunderland,-1,£4.3
Bartley,Swansea,3,£4.3
Paredes,Watford,12,£4.3
Olsson,West Brom,23,£4.3
Collins,West Ham,4,£4.3
Richardson,Aston Villa,7,£4.2
Hutton,Aston Villa,16,£4.2
Mings,Bournemouth,1,£4.2
Distin,Bournemouth,14,£4.2
José Enrique,Liverpool,0,£4.2
Varela,Man Utd,1,£4.2
Lascelles,Newcastle,1,£4.2
Williamson,Newcastle,0,£4.2
Whittaker,Norwich,10,£4.2
Yoshida,Southampton,28,£4.2
Muniesa,Stoke,7,£4.2
Bardsley,Stoke,0,£4.2
Coates,Sunderland,19,£4.2
Matthews,Sunderland,1,£4.2
Rangel,Swansea,3,£4.2
Pocognoli,West Brom,0,£4.2
Wasilewski,Leicester,0,£4.1
Martina,Southampton,2,£4.1
Holebas,Watford,2,£4.1
Smith,Bournemouth,26,£4.0
Bennett,Bournemouth,0,£4.0
Croll,Crystal Palace,0,£4.0
Pennington,Everton,0,£4.0
Holgate,Everton,0,£4.0
Browning,Everton,9,£4.0
Chilwell,Leicester,0,£4.0
Simpson,Leicester,35,£4.0
Randall,Liverpool,0,£4.0
Maffeo,Man City,0,£4.0
Humphreys-Grant,Man City,0,£4.0
Tuanzebe,Man Utd,0,£4.0
Borthwick-Jackson,Man Utd,1,£4.0
Good,Newcastle,0,£4.0
Sterry,Newcastle,0,£4.0
Alfei,Swansea,0,£4.0
Belkalem,Watford,0,£4.0
Knoyle,West Ham,0,£4.0
Henry,West Ham,0,£4.0
Kinsella,Aston Villa,0,£3.9
Cargill,Bournemouth,0,£3.9
Mariappa,Crystal Palace,2,£3.9
Hibbert,Everton,0,£3.9
Steven Taylor,Newcastle,7,£3.9
Ryan Bennett,Norwich,13,£3.9
Targett,Southampton,21,£3.9
Ekstrand,Watford,0,£3.9
