goalkeepers,,,
Player,Team,Points,Cost
Cech,Arsenal,80,£5.7
de Gea,Man Utd,64,£5.6
Hart,Man City,69,£5.5
Courtois,Chelsea,21,£5.2
Butland,Stoke,96,£5.2
Lloris,Spurs,76,£5.1
Howard,Everton,68,£5.0
Mignolet,Liverpool,62,£5.0
Stekelenburg,Southampton,55,£5.0
Adrián,West Ham,57,£5.0
Forster,Southampton,0,£4.9
Foster,West Brom,0,£4.9
Begovic,Chelsea,42,£4.8
Caballero,Man City,5,£4.8
Pantilimon,Sunderland,56,£4.8
Fabianski,Swansea,60,£4.8
Gomes,Watford,88,£4.8
Ospina,Arsenal,0,£4.7
Valdés,Man Utd,0,£4.7
Myhill,West Brom,78,£4.7
Boruc,Bournemouth,41,£4.5
Blackman,Chelsea,0,£4.5
Amelia,Chelsea,0,£4.5
Schmeichel,Leicester,58,£4.5
Wright,Man City,0,£4.5
Gazzaniga,Southampton,5,£4.5
Randolph,West Ham,16,£4.5
Federici,Bournemouth,7,£4.4
Allsop,Bournemouth,1,£4.4
Romero,Man Utd,21,£4.4
Player,Team,Points,Cost
Given,Stoke,0,£4.4
Haugaard,Stoke,0,£4.4
Arlauskis,Watford,1,£4.4
Lindegaard,West Brom,0,£4.4
Guzan,Aston Villa,46,£4.3
Bunn,Aston Villa,0,£4.3
Speroni,Crystal Palace,0,£4.3
Robles,Everton,0,£4.3
Bogdan,Liverpool,1,£4.3
Johnstone,Man Utd,0,£4.3
Krul,Newcastle,23,£4.3
Ruddy,Norwich,35,£4.3
Vorm,Spurs,2,£4.3
Mannone,Sunderland,4,£4.3
Nordfeldt,Swansea,0,£4.3
Davis K,Southampton,2,£4.2
Hennessey,Crystal Palace,55,£4.1
Macey,Arsenal,0,£4.0
Fulton,Liverpool,0,£4.0
Woodman,Newcastle,0,£4.0
Elliot,Newcastle,43,£4.0
Kean,Norwich,0,£4.0
Tremmel,Swansea,0,£4.0
Gilmartin,Watford,0,£4.0
Rose,West Brom,0,£4.0
Spiegel,West Ham,0,£4.0
McCarthy,Crystal Palace,18,£3.9
Maddison,Leicester,0,£3.9
Schwarzer,Leicester,0,£3.9
Darlow,Newcastle,3,£3.9
Rudd,Norwich,17,£3.9
,,,
,,,
Player,Team,Points,Cost
Given,Stoke,0,£4.4
Haugaard,Stoke,0,£4.4
Arlauskis,Watford,1,£4.4
Lindegaard,West Brom,0,£4.4
Guzan,Aston Villa,46,£4.3
Bunn,Aston Villa,0,£4.3
Speroni,Crystal Palace,0,£4.3
Robles,Everton,0,£4.3
Bogdan,Liverpool,1,£4.3
Johnstone,Man Utd,0,£4.3
Krul,Newcastle,23,£4.3
Ruddy,Norwich,35,£4.3
Vorm,Spurs,2,£4.3
Mannone,Sunderland,4,£4.3
Nordfeldt,Swansea,0,£4.3
Davis K,Southampton,2,£4.2
Hennessey,Crystal Palace,55,£4.1
Macey,Arsenal,0,£4.0
Fulton,Liverpool,0,£4.0
Woodman,Newcastle,0,£4.0
Elliot,Newcastle,43,£4.0
Kean,Norwich,0,£4.0
Tremmel,Swansea,0,£4.0
Gilmartin,Watford,0,£4.0
Rose,West Brom,0,£4.0
Spiegel,West Ham,0,£4.0
McCarthy,Crystal Palace,18,£3.9
Maddison,Leicester,0,£3.9
Schwarzer,Leicester,0,£3.9
Darlow,Newcastle,3,£3.9
Rudd,Norwich,17,£3.9
,,,
,,,
defenders,,,
Player,Team,Points,Cost
Smalling,Man Utd,83,£6.8
Terry,Chelsea,27,£6.6
Ivanovic,Chelsea,50,£6.5
Otamendi,Man City,45,£6.5
Kolarov,Man City,80,£6.4
Kompany,Man City,59,£6.2
Koscielny,Arsenal,66,£6.1
Cahill,Chelsea,31,£6.1
Baines,Everton,10,£6.1
Bellerín,Arsenal,73,£6.0
Monreal,Arsenal,70,£6.0
Alderweireld,Spurs,87,£6.0
Coleman,Everton,50,£5.9
Azpilicueta,Chelsea,56,£5.7
Dann,Crystal Palace,87,£5.7
Zabaleta,Man City,3,£5.7
Baba Rahman,Chelsea,10,£5.5
