goalkeepers,,,
Player,Team,Points,Cost
Cech,Arsenal,92,£5.8
de Gea,Man Utd,69,£5.6
Hart,Man City,78,£5.5
Courtois,Chelsea,29,£5.2
Butland,Stoke,100,£5.2
Lloris,Spurs,80,£5.1
Howard,Everton,79,£5.0
Mignolet,Liverpool,66,£5.0
Stekelenburg,Southampton,57,£5.0
Adrián,West Ham,66,£5.0
Foster,West Brom,0,£4.9
Begovic,Chelsea,42,£4.8
Caballero,Man City,5,£4.8
Forster,Southampton,6,£4.8
Gomes,Watford,92,£4.8
Ospina,Arsenal,0,£4.7
Valdés,Man Utd,0,£4.7
Pantilimon,Sunderland,56,£4.7
Fabianski,Swansea,65,£4.7
Myhill,West Brom,80,£4.7
Boruc,Bournemouth,57,£4.5
Blackman,Chelsea,0,£4.5
Amelia,Chelsea,0,£4.5
Schmeichel,Leicester,71,£4.5
Wright,Man City,0,£4.5
Gazzaniga,Southampton,5,£4.5
Federici,Bournemouth,7,£4.4
Allsop,Bournemouth,1,£4.4
Romero,Man Utd,21,£4.4
Given,Stoke,0,£4.4
Haugaard,Stoke,0,£4.4
Arlauskis,Watford,1,£4.4
,Team,Points,Cost
Randolph,West Ham,16,£4.4
Guzan,Aston Villa,48,£4.3
Bunn,Aston Villa,6,£4.3
Speroni,Crystal Palace,0,£4.3
Robles,Everton,0,£4.3
Bogdan,Liverpool,1,£4.3
Johnstone,Man Utd,0,£4.3
Krul,Newcastle,23,£4.3
Vorm,Spurs,2,£4.3
Mannone,Sunderland,7,£4.3
Nordfeldt,Swansea,0,£4.3
Lindegaard,West Brom,0,£4.3
Ruddy,Norwich,35,£4.2
Davis K,Southampton,2,£4.2
Hennessey,Crystal Palace,58,£4.1
Macey,Arsenal,0,£4.0
Hamer,Leicester,0,£4.0
Fulton,Liverpool,0,£4.0
Ward,Liverpool,0,£4.0
Woodman,Newcastle,0,£4.0
Elliot,Newcastle,46,£4.0
Kean,Norwich,0,£4.0
Pickford,Sunderland,0,£4.0
Tremmel,Swansea,0,£4.0
Gilmartin,Watford,0,£4.0
Rose,West Brom,0,£4.0
Spiegel,West Ham,0,£4.0
Maddison,Leicester,0,£3.9
Darlow,Newcastle,3,£3.9
Rudd,Norwich,25,£3.9
McCarthy,Crystal Palace,18,£3.8
Schwarzer,Leicester,0,£3.8
,,,
Player,Team,Points,Cost
Randolph,West Ham,16,£4.4
Guzan,Aston Villa,48,£4.3
Bunn,Aston Villa,6,£4.3
Speroni,Crystal Palace,0,£4.3
Robles,Everton,0,£4.3
Bogdan,Liverpool,1,£4.3
Johnstone,Man Utd,0,£4.3
Krul,Newcastle,23,£4.3
Vorm,Spurs,2,£4.3
Mannone,Sunderland,7,£4.3
Nordfeldt,Swansea,0,£4.3
