goalkeepers,,,
Player,Team,Points,Cost
Cech,Arsenal,73,£5.7
de Gea,Man Utd,56,£5.7
Hart,Man City,62,£5.6
Courtois,Chelsea,15,£5.2
Howard,Everton,68,£5.1
Lloris,Spurs,74,£5.1
Butland,Stoke,95,£5.1
Mignolet,Liverpool,54,£5.0
Stekelenburg,Southampton,54,£5.0
Adrián,West Ham,54,£5.0
Begovic,Chelsea,42,£4.9
Forster,Southampton,0,£4.9
Foster,West Brom,0,£4.9
Caballero,Man City,5,£4.8
Pantilimon,Sunderland,56,£4.8
Fabianski,Swansea,54,£4.8
Myhill,West Brom,72,£4.8
Ospina,Arsenal,0,£4.7
Valdés,Man Utd,0,£4.7
Gomes,Watford,87,£4.7
Boruc,Bournemouth,39,£4.5
Blackman,Chelsea,0,£4.5
Amelia,Chelsea,0,£4.5
Schmeichel,Leicester,48,£4.5
Wright,Man City,0,£4.5
Gazzaniga,Southampton,5,£4.5
Randolph,West Ham,16,£4.5
Federici,Bournemouth,7,£4.4
Allsop,Bournemouth,1,£4.4
Bogdan,Liverpool,1,£4.4
Player,Team,Points,Cost
Romero,Man Utd,21,£4.4
Given,Stoke,0,£4.4
Haugaard,Stoke,0,£4.4
Arlauskis,Watford,1,£4.4
Lindegaard,West Brom,0,£4.4
Guzan,Aston Villa,45,£4.3
Bunn,Aston Villa,0,£4.3
Speroni,Crystal Palace,0,£4.3
Robles,Everton,0,£4.3
Johnstone,Man Utd,0,£4.3
Krul,Newcastle,23,£4.3
Ruddy,Norwich,35,£4.3
Vorm,Spurs,2,£4.3
Mannone,Sunderland,1,£4.3
Nordfeldt,Swansea,0,£4.3
Davis K,Southampton,2,£4.2
Hennessey,Crystal Palace,48,£4.1
Macey,Arsenal,0,£4.0
Maddison,Leicester,0,£4.0
Fulton,Liverpool,0,£4.0
Woodman,Newcastle,0,£4.0
Elliot,Newcastle,43,£4.0
Kean,Norwich,0,£4.0
Tremmel,Swansea,0,£4.0
Gilmartin,Watford,0,£4.0
Rose,West Brom,0,£4.0
Spiegel,West Ham,0,£4.0
McCarthy,Crystal Palace,18,£3.9
Schwarzer,Leicester,0,£3.9
Darlow,Newcastle,0,£3.9
Rudd,Norwich,9,£3.9
,,,
,,,
Player,Team,Points,Cost
Romero,Man Utd,21,£4.4
Given,Stoke,0,£4.4
Haugaard,Stoke,0,£4.4
Arlauskis,Watford,1,£4.4
Lindegaard,West Brom,0,£4.4
Guzan,Aston Villa,45,£4.3
Bunn,Aston Villa,0,£4.3
Speroni,Crystal Palace,0,£4.3
Robles,Everton,0,£4.3
Johnstone,Man Utd,0,£4.3
Krul,Newcastle,23,£4.3
Ruddy,Norwich,35,£4.3
Vorm,Spurs,2,£4.3
Mannone,Sunderland,1,£4.3
Nordfeldt,Swansea,0,£4.3
Davis K,Southampton,2,£4.2
Hennessey,Crystal Palace,48,£4.1
Macey,Arsenal,0,£4.0
Maddison,Leicester,0,£4.0
Fulton,Liverpool,0,£4.0
Woodman,Newcastle,0,£4.0
Elliot,Newcastle,43,£4.0
Kean,Norwich,0,£4.0
Tremmel,Swansea,0,£4.0
Gilmartin,Watford,0,£4.0
Rose,West Brom,0,£4.0
Spiegel,West Ham,0,£4.0
McCarthy,Crystal Palace,18,£3.9
Schwarzer,Leicester,0,£3.9
Darlow,Newcastle,0,£3.9
Rudd,Norwich,9,£3.9
,,,
,,,
defenders,,,
Player,Team,Points,Cost
Smalling,Man Utd,77,£6.8
Terry,Chelsea,21,£6.6
Ivanovic,Chelsea,42,£6.5
Otamendi,Man City,37,£6.5
Kolarov,Man City,75,£6.5
Kompany,Man City,59,£6.2
Cahill,Chelsea,31,£6.1
Baines,Everton,10,£6.1
Koscielny,Arsenal,66,£6.0
Monreal,Arsenal,69,£6.0
Bellerín,Arsenal,66,£5.9
Coleman,Everton,50,£5.9
Alderweireld,Spurs,86,£5.9
Azpilicueta,Chelsea,47,£5.7
Zabaleta,Man City,3,£5.7
Dann,Crystal Palace,81,£5.6
Baba Rahman,Chelsea,10,£5.5
Zouma,Chelsea,52,£5.5
Funes Mori,Everton,31,£5.5
Stones,Everton,47,£5.5
Skrtel,Liverpool,53,£5.5
Sagna,Man City,71,£5.5
van Dijk,Southampton,58,£5.5
Vertonghen,Spurs,64,£5.5
Cresswell,West Ham,71,£5.5
Darmian,Man Utd,50,£5.4
Mertesacker,Arsenal,36,£5.3
Clyne,Liverpool,50,£5.3
Clichy,Man City,2,£5.3
Demichelis,Man City,8,£5.3
Mangala,Man City,32,£5.3
Shaw,Man Utd,27,£5.3
Bertrand,Southampton,41,£5.3
Fonte,Southampton,65,£5.3
Dier,Spurs,70,£5.3
Gibbs,Arsenal,15,£5.2
Jagielka,Everton,28,£5.2
Caulker,Southampton,9,£5.2
Rose,Spurs,40,£5.2
Debuchy,Arsenal,3,£5.1
Jones,Man Utd,29,£5.1
Rojo,Man Utd,31,£5.1
Valencia,Man Utd,17,£5.1
Walker,Spurs,70,£5.1
Johnson,Stoke,76,£5.1
Dawson,West Brom,62,£5.1
Moreno,Liverpool,47,£5.0
Trippier,Spurs,1,£5.0
Pieters,Stoke,65,£5.0
McAuley,West Brom,55,£5.0
Jenkinson,West Ham,24,£5.0
Tomkins,West Ham,49,£5.0
Lovren,Liverpool,41,£4.9
Janmaat,Newcastle,39,£4.9
Mbemba,Newcastle,43,£4.9
Cédric,Southampton,47,£4.9
Taylor,Swansea,50,£4.9
Reid,West Ham,33,£4.9
Ogbonna,West Ham,36,£4.9
Amavi,Aston Villa,32,£4.8
Djilobodji,Chelsea,0,£4.8
Schlupp,Leicester,26,£4.8
Shawcross,Stoke,33,£4.8
Williams,Swansea,52,£4.8
Fernández,Swansea,46,£4.8
Evans,West Brom,41,£4.8
Bacuna,Aston Villa,18,£4.7
Lescott,Aston Villa,29,£4.7
Fuchs,Leicester,38,£4.7
Sakho,Liverpool,25,£4.7
McNair,Man Utd,6,£4.7
Fazio,Spurs,0,£4.7
Nyom,Watford,70,£4.7
Chambers,Arsenal,14,£4.6
Wimmer,Spurs,0,£4.6
van Aanholt,Sunderland,34,£4.6
Naughton,Swansea,38,£4.6
Cathcart,Watford,61,£4.6
Chester,West Brom,1,£4.6
Daniels,Bournemouth,55,£4.5
Souaré,Crystal Palace,47,£4.5
de Laet,Leicester,19,£4.5
Coloccini,Newcastle,39,£4.5
Wollscheid,Stoke,60,£4.5
Britos,Watford,33,£4.5
Crespo,Aston Villa,2,£4.4
Clark,Aston Villa,14,£4.4
Okore,Aston Villa,7,£4.4
Richards,Aston Villa,36,£4.4
Ilori,Aston Villa,0,£4.4
Ward,Crystal Palace,51,£4.4
,,,
,,,
Player,Team,Points,Cost
Delaney,Crystal Palace,51,£4.4
Touré,Liverpool,2,£4.4
Flanagan,Liverpool,0,£4.4
Martin,Norwich,33,£4.4
Olsson,Norwich,24,£4.4
Gardos,Southampton,0,£4.4
Wilson,Stoke,3,£4.4
Yedlin,Sunderland,23,£4.4
Amat,Swansea,0,£4.4
Tabanou,Swansea,0,£4.4
Aké,Watford,51,£4.4
O'Brien,West Ham,0,£4.4
Gabriel,Arsenal,27,£4.3
Francis,Bournemouth,47,£4.3
Cook,Bournemouth,44,£4.3
Elphick,Bournemouth,8,£4.3
Kelly,Crystal Palace,25,£4.3
Hangeland,Crystal Palace,20,£4.3
Galloway,Everton,39,£4.3
Benalouane,Leicester,3,£4.3
Morgan,Leicester,40,£4.3
Huth,Leicester,34,£4.3
Gomez,Liverpool,23,£4.3
Haidara,Newcastle,17,£4.3
Dummett,Newcastle,30,£4.3
Mbabu,Newcastle,2,£4.3
Bassong,Norwich,28,£4.3
Wisdom,Norwich,16,£4.3
Cameron,Stoke,45,£4.3
Kaboul,Sunderland,32,£4.3
O'Shea,Sunderland,25,£4.3
Jones,Sunderland,36,£4.3
Brown,Sunderland,-1,£4.3
Bartley,Swansea,3,£4.3
Prödl,Watford,26,£4.3
Paredes,Watford,12,£4.3
Olsson,West Brom,31,£4.3
Collins,West Ham,17,£4.3
Richardson,Aston Villa,7,£4.2
Hutton,Aston Villa,20,£4.2
Distin,Bournemouth,14,£4.2
José Enrique,Liverpool,0,£4.2
Varela,Man Utd,2,£4.2
Lascelles,Newcastle,1,£4.2
Williamson,Newcastle,0,£4.2
Muniesa,Stoke,7,£4.2
Bardsley,Stoke,0,£4.2
Coates,Sunderland,21,£4.2
Matthews,Sunderland,1,£4.2
Pocognoli,West Brom,0,£4.2
Mings,Bournemouth,1,£4.1
Simpson,Leicester,40,£4.1
Whittaker,Norwich,10,£4.1
Yoshida,Southampton,30,£4.1
Martina,Southampton,15,£4.1
Davies,Spurs,39,£4.1
Rangel,Swansea,19,£4.1
Holebas,Watford,2,£4.1
Smith,Bournemouth,45,£4.0
Bennett,Bournemouth,0,£4.0
Croll,Crystal Palace,0,£4.0
Pennington,Everton,0,£4.0
Holgate,Everton,0,£4.0
Chilwell,Leicester,0,£4.0
Wasilewski,Leicester,0,£4.0
Randall,Liverpool,0,£4.0
Maffeo,Man City,0,£4.0
Humphreys-Grant,Man City,0,£4.0
Tuanzebe,Man Utd,0,£4.0
Borthwick-Jackson,Man Utd,2,£4.0
Good,Newcastle,0,£4.0
Sterry,Newcastle,0,£4.0
Alfei,Swansea,0,£4.0
Belkalem,Watford,0,£4.0
Knoyle,West Ham,0,£4.0
Henry,West Ham,0,£4.0
Hendrie,West Ham,0,£4.0
Kinsella,Aston Villa,0,£3.9
Cargill,Bournemouth,0,£3.9
Hibbert,Everton,0,£3.9
Browning,Everton,9,£3.9
Ryan Bennett,Norwich,20,£3.9
Ekstrand,Watford,0,£3.9
Hoban,Watford,0,£3.9
Gamboa,West Brom,0,£3.9
Burke,West Ham,0,£3.9
Mariappa,Crystal Palace,2,£3.8
Moore,Leicester,0,£3.8
Steven Taylor,Newcastle,7,£3.8
Targett,Southampton,21,£3.8
Oxford,West Ham,8,£3.7
,,,
midfielders,,,
Player,Team,Points,Cost
Sánchez,Arsenal,76,£10.9
Hazard,Chelsea,48,£10.8
De Bruyne,Man City,90,£10.8
Silva,Man City,46,£10.0
Özil,Arsenal,115,£9.9
Pedro,Chelsea,55,£8.9
Sterling,Man City,70,£8.9
Yaya Touré,Man City,83,£8.6
Coutinho,Liverpool,77,£8.5
Mata,Man Utd,79,£8.5
Eriksen,Spurs,71,£8.5
Fàbregas,Chelsea,43,£8.4
Walcott,Arsenal,50,£8.3
Oscar,Chelsea,29,£8.2
Ramsey,Arsenal,58,£8.1
Cazorla,Arsenal,41,£7.9
Depay,Man Utd,41,£7.9
Firmino,Liverpool,49,£7.8
Mané,Southampton,73,£7.7
Payet,West Ham,74,£7.7
Barkley,Everton,100,£7.5
Lallana,Liverpool,37,£7.3
Mahrez,Leicester,149,£7.1
Wijnaldum,Newcastle,90,£7.1
Willian,Chelsea,63,£7.0
Sigurdsson,Swansea,51,£7.0
Ayew,Swansea,86,£7.0
Mirallas,Everton,15,£6.8
Nasri,Man City,15,£6.8
Tadic,Southampton,75,£6.8
Lamela,Spurs,51,£6.8
Cabaye,Crystal Palace,75,£6.6
Milner,Liverpool,53,£6.6
Schweinsteiger,Man Utd,38,£6.6
Chadli,Spurs,31,£6.6
Shaqiri,Stoke,44,£6.6
Henderson,Liverpool,26,£6.5
Herrera,Man Utd,40,£6.5
Deulofeu,Everton,57,£6.4
Bolasie,Crystal Palace,61,£6.2
Navas,Man City,46,£6.2
Fellaini,Man Utd,22,£6.2
Arnautovic,Stoke,83,£6.2
Toivonen,Sunderland,19,£6.2
de Jong,Newcastle,17,£6.1
Lens,Sunderland,36,£6.1
Wilshere,Arsenal,0,£5.8
Fernandinho,Man City,54,£5.8
Townsend,Spurs,3,£5.8
Johnson,Sunderland,29,£5.8
Gradel,Bournemouth,16,£5.7
Sissoko,Newcastle,52,£5.7
Walters,Stoke,38,£5.7
Veretout,Aston Villa,38,£5.6
Puncheon,Crystal Palace,47,£5.6
Lennon,Everton,13,£5.6
Young,Man Utd,23,£5.6
Thauvin,Newcastle,13,£5.6
Adam,Stoke,24,£5.6
Chamberlain,Arsenal,23,£5.5
Ritchie,Bournemouth,56,£5.5
Gouffran,Newcastle,5,£5.5
Ward-Prowse,Southampton,36,£5.5
Berghuis,Watford,5,£5.5
Noble,West Ham,48,£5.5
Traoré,Aston Villa,10,£5.4
Traore,Chelsea,1,£5.4
Delph,Man City,17,£5.4
Brady,Norwich,58,£5.4
Shelvey,Swansea,42,£5.4
Grealish,Aston Villa,22,£5.3
Ramires,Chelsea,28,£5.3
Zaha,Crystal Palace,47,£5.3
Can,Liverpool,30,£5.3
Blind,Man Utd,51,£5.3
Redmond,Norwich,60,£5.3
Ramírez,Southampton,4,£5.3
Dembélé,Spurs,43,£5.3
Alli,Spurs,73,£5.3
Montero,Swansea,34,£5.3
Jurado,Watford,37,£5.3
Kouyaté,West Ham,58,£5.3
Schneiderlin,Man Utd,33,£5.2
Colback,Newcastle,20,£5.2
Clasie,Southampton,17,£5.2
Brunt,West Brom,45,£5.2
Lanzini,West Ham,55,£5.2
Antonio,West Ham,14,£5.2
Cleverley,Everton,27,£5.1
Afellay,Stoke,19,£5.1
Van Ginkel,Stoke,20,£5.1
Larsson,Sunderland,13,£5.1
Routledge,Swansea,14,£5.1
Diamanti,Watford,3,£5.1
Sessegnon,West Brom,19,£5.1
Gardner,West Brom,22,£5.1
Atsu,Bournemouth,0,£5.0
Sako,Crystal Palace,37,£5.0
McArthur,Crystal Palace,55,£5.0
Kanté,Leicester,53,£5.0
Ki Sung-yueng,Swansea,33,£5.0
Rosicky,Arsenal,0,£4.9
McGeady,Everton,0,£4.9
Albrighton,Leicester,67,£4.9
Allen,Liverpool,6,£4.9
Fernando,Man City,16,£4.9
Howson,Norwich,48,£4.9
Odjidja-Ofoe,Norwich,4,£4.9
Mason,Spurs,23,£4.9
M'Vila,Sunderland,57,£4.9
Song,West Ham,11,£4.9
Moses,West Ham,30,£4.9
Zelalem,Arsenal,0,£4.8
Adelaide,Arsenal,0,£4.8
Pienaar,Everton,0,£4.8
,,,
,,,
,Team,Points,Cost
Carrick,Man Utd,25,£4.8
Hoolahan,Norwich,59,£4.8
Davis,Southampton,51,£4.8
Pritchard,Spurs,1,£4.8
Rodwell,Sunderland,13,£4.8
Gómez,Sunderland,11,£4.8
Capoue,Watford,45,£4.8
Obiang,West Ham,19,£4.8
Arteta,Arsenal,5,£4.7
Carles Gil,Aston Villa,22,£4.7
Cole,Aston Villa,0,£4.7
Arter,Bournemouth,13,£4.7
Pugh,Bournemouth,24,£4.7
Matic,Chelsea,35,£4.7
Ledley,Crystal Palace,12,£4.7
McCarthy,Everton,32,£4.7
Dyer,Leicester,16,£4.7
Jarvis,Norwich,17,£4.7
Hesketh,Southampton,0,£4.7
Carroll,Spurs,14,£4.7
Ireland,Stoke,9,£4.7
Odemwingie,Stoke,2,£4.7
Buckley,Sunderland,0,£4.7
Abdi,Watford,42,£4.7
Morrison,West Brom,50,£4.7
McClean,West Brom,40,£4.7
Gueye,Aston Villa,29,£4.6
King,Bournemouth,38,£4.6
Loftus-Cheek,Chelsea,3,£4.6
Jedinak,Crystal Palace,9,£4.6
Ibe,Liverpool,28,£4.6
Pereira,Man Utd,2,£4.6
Aarons,Newcastle,3,£4.6
Cork,Swansea,23,£4.6
Gnabry,West Brom,1,£4.6
Amalfitano,West Ham,0,£4.6
Iwobi,Arsenal,2,£4.5
N'Zogbia,Aston Villa,2,£4.5
Gardner,Aston Villa,0,£4.5
Lyden,Aston Villa,0,£4.5
Gray,Crystal Palace,0,£4.5
Dymond,Crystal Palace,0,£4.5
Osman,Everton,3,£4.5
Inler,Leicester,5,£4.5
Drinkwater,Leicester,46,£4.5
Teixeira,Liverpool,0,£4.5
Brannagan,Liverpool,0,£4.5
Manu García,Man City,0,£4.5
Evans,Man City,0,£4.5
Barker,Man City,0,£4.5
Goss,Man Utd,0,£4.5
Powell,Man Utd,1,£4.5
