goalkeepers,,,
Player,Team,Points,Cost
Cech,Arsenal,127,£5.8
de Gea,Man Utd,116,£5.8
Hart,Man City,113,£5.6
Courtois,Chelsea,66,£5.3
Lloris,Spurs,122,£5.3
Butland,Stoke,132,£5.2
Forster,Southampton,54,£5.1
Adrián,West Ham,107,£5.1
Gomes,Watford,127,£5.0
Howard,Everton,83,£4.9
Schmeichel,Leicester,125,£4.9
Mignolet,Liverpool,95,£4.9
Stekelenburg,Southampton,57,£4.9
Foster,West Brom,44,£4.9
Caballero,Man City,12,£4.8
Ospina,Arsenal,18,£4.7
Fabianski,Swansea,108,£4.7
Begovic,Chelsea,42,£4.6
Boruc,Bournemouth,91,£4.5
Amelia,Chelsea,0,£4.5
Wright,Man City,0,£4.5
Gazzaniga,Southampton,5,£4.5
Pantilimon,Watford,56,£4.5
Haugaard,Stoke,1,£4.4
Randolph,West Ham,16,£4.4
Bunn,Aston Villa,33,£4.3
Federici,Bournemouth,7,£4.3
Robles,Everton,22,£4.3
,,,
,,,
,,,
,,,
Player,Team,Points,Cost
Bogdan,Liverpool,1,£4.3
Romero,Man Utd,21,£4.3
Johnstone,Man Utd,0,£4.3
Given,Stoke,0,£4.3
Mannone,Sunderland,33,£4.3
Myhill,West Brom,81,£4.3
Speroni,Crystal Palace,0,£4.2
Hennessey,Crystal Palace,72,£4.2
Krul,Newcastle,23,£4.2
Nordfeldt,Swansea,0,£4.2
Guzan,Aston Villa,57,£4.1
Ruddy,Norwich,57,£4.1
Davis K,Southampton,2,£4.1
Vorm,Spurs,2,£4.1
Macey,Arsenal,0,£4.0
Stanek,Everton,0,£4.0
Hamer,Leicester,0,£4.0
Ward,Liverpool,0,£4.0
Woodman,Newcastle,0,£4.0
Elliot,Newcastle,66,£4.0
Kean,Norwich,0,£4.0
Gilmartin,Watford,0,£4.0
Maddison,Leicester,0,£3.9
Darlow,Newcastle,5,£3.9
Rudd,Norwich,29,£3.9
Pickford,Sunderland,2,£3.9
Spiegel,West Ham,0,£3.9
