goalkeepers,,,
Player,Team,Points,Cost
Cech,Arsenal,70,£5.7
de Gea,Man Utd,54,£5.7
Hart,Man City,58,£5.6
Courtois,Chelsea,12,£5.2
Howard,Everton,62,£5.1
Lloris,Spurs,58,£5.1
Begovic,Chelsea,42,£5.0
Mignolet,Liverpool,47,£5.0
Stekelenburg,Southampton,47,£5.0
Butland,Stoke,85,£5.0
Adrián,West Ham,44,£5.0
Forster,Southampton,0,£4.9
Foster,West Brom,0,£4.9
Caballero,Man City,5,£4.8
Pantilimon,Sunderland,55,£4.8
Fabianski,Swansea,41,£4.8
Myhill,West Brom,68,£4.8
Ospina,Arsenal,0,£4.7
Valdés,Man Utd,0,£4.7
Gomes,Watford,78,£4.7
Boruc,Bournemouth,31,£4.5
Blackman,Chelsea,0,£4.5
Amelia,Chelsea,0,£4.5
Schmeichel,Leicester,44,£4.5
Wright,Man City,0,£4.5
Romero,Man Utd,21,£4.5
Gazzaniga,Southampton,3,£4.5
Randolph,West Ham,16,£4.5
Guzan,Aston Villa,39,£4.4
Bunn,Aston Villa,0,£4.4
Player,Team,Points,Cost
Federici,Bournemouth,7,£4.4
Allsop,Bournemouth,1,£4.4
Speroni,Crystal Palace,0,£4.4
Bogdan,Liverpool,0,£4.4
Krul,Newcastle,23,£4.4
Ruddy,Norwich,35,£4.4
Given,Stoke,0,£4.4
Haugaard,Stoke,0,£4.4
Arlauskis,Watford,1,£4.4
Lindegaard,West Brom,0,£4.4
Robles,Everton,0,£4.3
Johnstone,Man Utd,0,£4.3
Vorm,Spurs,2,£4.3
Mannone,Sunderland,0,£4.3
Nordfeldt,Swansea,0,£4.3
Davis K,Southampton,2,£4.2
Macey,Arsenal,0,£4.0
McCarthy,Crystal Palace,18,£4.0
Hennessey,Crystal Palace,38,£4.0
Maddison,Leicester,0,£4.0
Woodman,Newcastle,0,£4.0
Elliot,Newcastle,34,£4.0
Kean,Norwich,0,£4.0
Tremmel,Swansea,0,£4.0
Gilmartin,Watford,0,£4.0
Rose,West Brom,0,£4.0
Spiegel,West Ham,0,£4.0
Schwarzer,Leicester,0,£3.9
Darlow,Newcastle,0,£3.9
Rudd,Norwich,4,£3.9
Player,Team,Points,Cost
Federici,Bournemouth,7,£4.4
Allsop,Bournemouth,1,£4.4
Speroni,Crystal Palace,0,£4.4
Bogdan,Liverpool,0,£4.4
Krul,Newcastle,23,£4.4
Ruddy,Norwich,35,£4.4
Given,Stoke,0,£4.4
Haugaard,Stoke,0,£4.4
Arlauskis,Watford,1,£4.4
Lindegaard,West Brom,0,£4.4
Robles,Everton,0,£4.3
Johnstone,Man Utd,0,£4.3
Vorm,Spurs,2,£4.3
Mannone,Sunderland,0,£4.3
Nordfeldt,Swansea,0,£4.3
Davis K,Southampton,2,£4.2
Macey,Arsenal,0,£4.0
McCarthy,Crystal Palace,18,£4.0
Hennessey,Crystal Palace,38,£4.0
Maddison,Leicester,0,£4.0
Woodman,Newcastle,0,£4.0
Elliot,Newcastle,34,£4.0
Kean,Norwich,0,£4.0
Tremmel,Swansea,0,£4.0
Gilmartin,Watford,0,£4.0
Rose,West Brom,0,£4.0
Spiegel,West Ham,0,£4.0
Schwarzer,Leicester,0,£3.9
Darlow,Newcastle,0,£3.9
Rudd,Norwich,4,£3.9
defenders,,,
Player,Team,Points,Cost
Smalling,Man Utd,75,£6.9
Terry,Chelsea,18,£6.6
Ivanovic,Chelsea,27,£6.5
Otamendi,Man City,35,£6.5
Kolarov,Man City,72,£6.5
Cahill,Chelsea,27,£6.2
Kompany,Man City,58,£6.2
Baines,Everton,3,£6.1
Koscielny,Arsenal,64,£6.0
Bellerín,Arsenal,64,£5.9
Monreal,Arsenal,67,£5.9
Coleman,Everton,43,£5.9
Azpilicueta,Chelsea,44,£5.8
Alderweireld,Spurs,74,£5.8
Zabaleta,Man City,3,£5.7
Baba Rahman,Chelsea,10,£5.6
Skrtel,Liverpool,53,£5.6
Darmian,Man Utd,50,£5.6
van Dijk,Southampton,51,£5.6
Funes Mori,Everton,23,£5.5
Stones,Everton,39,£5.5
Sagna,Man City,62,£5.5
Vertonghen,Spurs,52,£5.5
Cresswell,West Ham,55,£5.5
Zouma,Chelsea,50,£5.4
Dann,Crystal Palace,73,£5.4
Clyne,Liverpool,43,£5.4
Fonte,Southampton,50,£5.4
Mertesacker,Arsenal,34,£5.3
Clichy,Man City,2,£5.3
Demichelis,Man City,7,£5.3
Mangala,Man City,29,£5.3
Shaw,Man Utd,27,£5.3
Bertrand,Southampton,31,£5.3
Gibbs,Arsenal,14,£5.2
Jagielka,Everton,28,£5.2
Rojo,Man Utd,31,£5.2
Caulker,Southampton,9,£5.2
Rose,Spurs,40,£5.2
Dier,Spurs,59,£5.2
Debuchy,Arsenal,3,£5.1
Jones,Man Utd,27,£5.1
Valencia,Man Utd,17,£5.1
Walker,Spurs,51,£5.1
Dawson,West Brom,59,£5.1
Moreno,Liverpool,39,£5.0
Cédric,Southampton,46,£5.0
Trippier,Spurs,1,£5.0
Pieters,Stoke,58,£5.0
Johnson,Stoke,64,£5.0
McAuley,West Brom,46,£5.0
Jenkinson,West Ham,23,£5.0
Reid,West Ham,33,£5.0
Tomkins,West Ham,42,£5.0
Amavi,Aston Villa,32,£4.9
Schlupp,Leicester,26,£4.9
Lovren,Liverpool,34,£4.9
Janmaat,Newcastle,36,£4.9
Mbemba,Newcastle,39,£4.9
Taylor,Swansea,37,£4.9
Ogbonna,West Ham,29,£4.9
Djilobodji,Chelsea,0,£4.8
Shawcross,Stoke,26,£4.8
Williams,Swansea,34,£4.8
Fernández,Swansea,32,£4.8
Evans,West Brom,39,£4.8
Chambers,Arsenal,12,£4.7
Bacuna,Aston Villa,16,£4.7
Lescott,Aston Villa,26,£4.7
Fuchs,Leicester,35,£4.7
Sakho,Liverpool,15,£4.7
McNair,Man Utd,6,£4.7
Fazio,Spurs,0,£4.7
Naughton,Swansea,37,£4.7
Wimmer,Spurs,0,£4.6
van Aanholt,Sunderland,33,£4.6
Cathcart,Watford,55,£4.6
Nyom,Watford,63,£4.6
Chester,West Brom,1,£4.6
Gabriel,Arsenal,27,£4.5
Daniels,Bournemouth,36,£4.5
Souaré,Crystal Palace,39,£4.5
Galloway,Everton,39,£4.5
de Laet,Leicester,18,£4.5
Coloccini,Newcastle,28,£4.5
Martin,Norwich,30,£4.5
Wilson,Stoke,3,£4.5
Britos,Watford,28,£4.5
Crespo,Aston Villa,2,£4.4
Clark,Aston Villa,14,£4.4
Player,Team,Points,Cost
Okore,Aston Villa,3,£4.4
Richards,Aston Villa,36,£4.4
Ilori,Aston Villa,0,£4.4
Francis,Bournemouth,38,£4.4
Ward,Crystal Palace,42,£4.4
Delaney,Crystal Palace,40,£4.4
Touré,Liverpool,2,£4.4
Flanagan,Liverpool,0,£4.4
Olsson,Norwich,21,£4.4
Gardos,Southampton,0,£4.4
Cameron,Stoke,39,£4.4
Wollscheid,Stoke,53,£4.4
Yedlin,Sunderland,23,£4.4
Jones,Sunderland,36,£4.4
Amat,Swansea,0,£4.4
Tabanou,Swansea,0,£4.4
Aké,Watford,37,£4.4
Prödl,Watford,26,£4.4
O'Brien,West Ham,0,£4.4
Cook,Bournemouth,36,£4.3
Elphick,Bournemouth,8,£4.3
Kelly,Crystal Palace,25,£4.3
Hangeland,Crystal Palace,20,£4.3
Benalouane,Leicester,3,£4.3
Morgan,Leicester,37,£4.3
Huth,Leicester,33,£4.3
Gomez,Liverpool,23,£4.3
Haidara,Newcastle,17,£4.3
Dummett,Newcastle,27,£4.3
Mbabu,Newcastle,2,£4.3
Bassong,Norwich,25,£4.3
Wisdom,Norwich,16,£4.3
Kaboul,Sunderland,28,£4.3
O'Shea,Sunderland,25,£4.3
Brown,Sunderland,-1,£4.3
Bartley,Swansea,3,£4.3
Paredes,Watford,12,£4.3
Olsson,West Brom,30,£4.3
Collins,West Ham,10,£4.3
Richardson,Aston Villa,7,£4.2
Hutton,Aston Villa,17,£4.2
Mings,Bournemouth,1,£4.2
Distin,Bournemouth,14,£4.2
José Enrique,Liverpool,0,£4.2
Varela,Man Utd,2,£4.2
Lascelles,Newcastle,1,£4.2
Williamson,Newcastle,0,£4.2
Whittaker,Norwich,10,£4.2
Yoshida,Southampton,30,£4.2
Davies,Spurs,22,£4.2
Muniesa,Stoke,7,£4.2
Bardsley,Stoke,0,£4.2
Coates,Sunderland,21,£4.2
Matthews,Sunderland,1,£4.2
Pocognoli,West Brom,0,£4.2
Martina,Southampton,2,£4.1
Rangel,Swansea,4,£4.1
Holebas,Watford,2,£4.1
Smith,Bournemouth,28,£4.0
Bennett,Bournemouth,0,£4.0
Croll,Crystal Palace,0,£4.0
Pennington,Everton,0,£4.0
Holgate,Everton,0,£4.0
Browning,Everton,9,£4.0
Chilwell,Leicester,0,£4.0
Wasilewski,Leicester,0,£4.0
Simpson,Leicester,37,£4.0
Randall,Liverpool,0,£4.0
Maffeo,Man City,0,£4.0
Humphreys-Grant,Man City,0,£4.0
Tuanzebe,Man Utd,0,£4.0
Borthwick-Jackson,Man Utd,2,£4.0
Good,Newcastle,0,£4.0
Sterry,Newcastle,0,£4.0
Alfei,Swansea,0,£4.0
Belkalem,Watford,0,£4.0
Knoyle,West Ham,0,£4.0
Henry,West Ham,0,£4.0
Kinsella,Aston Villa,0,£3.9
Cargill,Bournemouth,0,£3.9
Hibbert,Everton,0,£3.9
Steven Taylor,Newcastle,7,£3.9
Ryan Bennett,Norwich,17,£3.9
Targett,Southampton,21,£3.9
Ekstrand,Watford,0,£3.9
Hoban,Watford,0,£3.9
Gamboa,West Brom,0,£3.9
Burke,West Ham,0,£3.9
Mariappa,Crystal Palace,2,£3.8
Moore,Leicester,0,£3.8
Oxford,West Ham,7,£3.8
,,,
midfielders,,,
Player,Team,Points,Cost
Sánchez,Arsenal,76,£11.0
Hazard,Chelsea,47,£10.9
De Bruyne,Man City,72,£10.9
Silva,Man City,40,£10.0
Özil,Arsenal,102,£9.8
Pedro,Chelsea,44,£8.9
Sterling,Man City,63,£8.9
Mata,Man Utd,75,£8.6
Coutinho,Liverpool,72,£8.5
Yaya Touré,Man City,65,£8.5
Eriksen,Spurs,65,£8.5
Fàbregas,Chelsea,40,£8.4
Walcott,Arsenal,41,£8.3
Oscar,Chelsea,22,£8.2
Ramsey,Arsenal,54,£8.1
Firmino,Liverpool,39,£8.1
Cazorla,Arsenal,41,£7.9
Depay,Man Utd,38,£7.9
Mané,Southampton,65,£7.9
Payet,West Ham,74,£7.7
Barkley,Everton,89,£7.4
Lallana,Liverpool,33,£7.3
Sigurdsson,Swansea,45,£7.1
Ayew,Swansea,80,£7.1
Wijnaldum,Newcastle,86,£7.0
Tadic,Southampton,69,£7.0
Willian,Chelsea,48,£6.9
Mahrez,Leicester,132,£6.9
Mirallas,Everton,6,£6.8
Nasri,Man City,15,£6.8
Lamela,Spurs,45,£6.8
Cabaye,Crystal Palace,74,£6.6
Milner,Liverpool,53,£6.6
Schweinsteiger,Man Utd,38,£6.6
Herrera,Man Utd,37,£6.6
Chadli,Spurs,29,£6.6
Shaqiri,Stoke,40,£6.6
Henderson,Liverpool,21,£6.5
Deulofeu,Everton,54,£6.4
Bolasie,Crystal Palace,59,£6.2
Navas,Man City,45,£6.2
Fellaini,Man Utd,19,£6.2
Toivonen,Sunderland,18,£6.2
de Jong,Newcastle,13,£6.1
Arnautovic,Stoke,73,£6.1
Lens,Sunderland,35,£6.1
Wilshere,Arsenal,0,£5.8
Fernandinho,Man City,50,£5.8
Townsend,Spurs,3,£5.8
Walters,Stoke,37,£5.8
Johnson,Sunderland,25,£5.8
Gradel,Bournemouth,16,£5.7
Puncheon,Crystal Palace,42,£5.7
Sissoko,Newcastle,48,£5.7
Veretout,Aston Villa,27,£5.6
Lennon,Everton,9,£5.6
Young,Man Utd,20,£5.6
