goalkeepers,,,
Player,Team,Points,Cost
Hart,Man City,51,£5.7
Cech,Arsenal,58,£5.6
de Gea,Man Utd,41,£5.6
Courtois,Chelsea,7,£5.2
Howard,Everton,47,£5.1
Lloris,Spurs,45,£5.1
Begovic,Chelsea,28,£5.0
Mignolet,Liverpool,38,£5.0
Stekelenburg,Southampton,41,£5.0
Fabianski,Swansea,35,£5.0
Adrián,West Ham,26,£5.0
Forster,Southampton,0,£4.9
Foster,West Brom,0,£4.9
Caballero,Man City,1,£4.8
Pantilimon,Sunderland,31,£4.8
Myhill,West Brom,59,£4.8
Ospina,Arsenal,0,£4.7
Valdés,Man Utd,0,£4.7
Butland,Stoke,59,£4.6
Gomes,Watford,60,£4.6
Guzan,Aston Villa,33,£4.5
Boruc,Bournemouth,18,£4.5
Blackman,Chelsea,0,£4.5
Amelia,Chelsea,0,£4.5
Schmeichel,Leicester,28,£4.5
Wright,Man City,0,£4.5
Romero,Man Utd,21,£4.5
Gazzaniga,Southampton,0,£4.5
Lindegaard,West Brom,0,£4.5
,,,
Player,Team,Points,Cost
Randolph,West Ham,16,£4.5
Bunn,Aston Villa,0,£4.4
Federici,Bournemouth,5,£4.4
Allsop,Bournemouth,0,£4.4
Speroni,Crystal Palace,0,£4.4
Robles,Everton,0,£4.4
Bogdan,Liverpool,0,£4.4
Johnstone,Man Utd,0,£4.4
Krul,Newcastle,23,£4.4
Ruddy,Norwich,29,£4.4
Vorm,Spurs,2,£4.4
Given,Stoke,0,£4.4
Haugaard,Stoke,0,£4.4
Nordfeldt,Swansea,0,£4.4
Arlauskis,Watford,0,£4.4
Davis K,Southampton,2,£4.3
Mannone,Sunderland,0,£4.3
McCarthy,Crystal Palace,18,£4.1
Macey,Arsenal,0,£4.0
Hennessey,Crystal Palace,23,£4.0
Maddison,Leicester,0,£4.0
Woodman,Newcastle,0,£4.0
Darlow,Newcastle,0,£4.0
Elliot,Newcastle,20,£4.0
Rudd,Norwich,0,£4.0
Kean,Norwich,0,£4.0
Gilmartin,Watford,0,£4.0
Rose,West Brom,0,£4.0
Spiegel,West Ham,0,£4.0
Schwarzer,Leicester,0,£3.9
Player,Team,Points,Cost
Randolph,West Ham,16,£4.5
Bunn,Aston Villa,0,£4.4
Federici,Bournemouth,5,£4.4
Allsop,Bournemouth,0,£4.4
Speroni,Crystal Palace,0,£4.4
Robles,Everton,0,£4.4
Bogdan,Liverpool,0,£4.4
Johnstone,Man Utd,0,£4.4
Krul,Newcastle,23,£4.4
Ruddy,Norwich,29,£4.4
Vorm,Spurs,2,£4.4
Given,Stoke,0,£4.4
Haugaard,Stoke,0,£4.4
Nordfeldt,Swansea,0,£4.4
Arlauskis,Watford,0,£4.4
Davis K,Southampton,2,£4.3
Mannone,Sunderland,0,£4.3
McCarthy,Crystal Palace,18,£4.1
Macey,Arsenal,0,£4.0
Hennessey,Crystal Palace,23,£4.0
Maddison,Leicester,0,£4.0
Woodman,Newcastle,0,£4.0
Darlow,Newcastle,0,£4.0
Elliot,Newcastle,20,£4.0
Rudd,Norwich,0,£4.0
Kean,Norwich,0,£4.0
Gilmartin,Watford,0,£4.0
Rose,West Brom,0,£4.0
Spiegel,West Ham,0,£4.0
Schwarzer,Leicester,0,£3.9
defenders,,,
Player,Team,Points,Cost
Smalling,Man Utd,64,£6.7
Terry,Chelsea,11,£6.6
Ivanovic,Chelsea,10,£6.5
Otamendi,Man City,31,£6.5
Kompany,Man City,58,£6.4
Cahill,Chelsea,19,£6.2
Kolarov,Man City,61,£6.2
Baines,Everton,0,£6.1
Koscielny,Arsenal,53,£6.0
Bellerín,Arsenal,54,£5.9
Monreal,Arsenal,55,£5.9
