goalkeepers,,,
Player,Team,Points,Cost
Hart,Man City,43,£5.7
Cech,Arsenal,48,£5.6
de Gea,Man Utd,26,£5.5
Courtois,Chelsea,7,£5.2
Howard,Everton,41,£5.1
Mignolet,Liverpool,35,£5.1
Lloris,Spurs,40,£5.1
Begovic,Chelsea,24,£5.0
Stekelenburg,Southampton,28,£5.0
Fabianski,Swansea,31,£5.0
Adrián,West Ham,21,£5.0
Caballero,Man City,1,£4.9
Forster,Southampton,0,£4.9
Foster,West Brom,0,£4.9
Pantilimon,Sunderland,28,£4.8
Myhill,West Brom,57,£4.8
Ospina,Arsenal,0,£4.7
Valdés,Man Utd,0,£4.7
Romero,Man Utd,21,£4.6
Butland,Stoke,38,£4.6
Gomes,Watford,50,£4.6
Guzan,Aston Villa,25,£4.5
Boruc,Bournemouth,18,£4.5
Blackman,Chelsea,0,£4.5
Amelia,Chelsea,0,£4.5
Speroni,Crystal Palace,0,£4.5
Schmeichel,Leicester,24,£4.5
Wright,Man City,0,£4.5
Krul,Newcastle,23,£4.5
,,,
Player,Team,Points,Cost
Ruddy,Norwich,21,£4.5
Gazzaniga,Southampton,0,£4.5
Lindegaard,West Brom,0,£4.5
Randolph,West Ham,16,£4.5
Bunn,Aston Villa,0,£4.4
Federici,Bournemouth,2,£4.4
Robles,Everton,0,£4.4
Bogdan,Liverpool,0,£4.4
Johnstone,Man Utd,0,£4.4
Vorm,Spurs,2,£4.4
Given,Stoke,0,£4.4
Haugaard,Stoke,0,£4.4
Nordfeldt,Swansea,0,£4.4
Arlauskis,Watford,0,£4.4
Davis K,Southampton,2,£4.3
Mannone,Sunderland,0,£4.3
McCarthy,Crystal Palace,18,£4.1
Macey,Arsenal,0,£4.0
Maddison,Leicester,0,£4.0
Schwarzer,Leicester,0,£4.0
Woodman,Newcastle,0,£4.0
Darlow,Newcastle,0,£4.0
Elliot,Newcastle,3,£4.0
Rudd,Norwich,0,£4.0
Kean,Norwich,0,£4.0
Gilmartin,Watford,0,£4.0
Rose,West Brom,0,£4.0
Spiegel,West Ham,0,£4.0
Hennessey,Crystal Palace,14,£3.9
,,,
Player,Team,Points,Cost
Ruddy,Norwich,21,£4.5
Gazzaniga,Southampton,0,£4.5
Lindegaard,West Brom,0,£4.5
Randolph,West Ham,16,£4.5
Bunn,Aston Villa,0,£4.4
Federici,Bournemouth,2,£4.4
Robles,Everton,0,£4.4
Bogdan,Liverpool,0,£4.4
Johnstone,Man Utd,0,£4.4
Vorm,Spurs,2,£4.4
Given,Stoke,0,£4.4
Haugaard,Stoke,0,£4.4
Nordfeldt,Swansea,0,£4.4
Arlauskis,Watford,0,£4.4
Davis K,Southampton,2,£4.3
Mannone,Sunderland,0,£4.3
McCarthy,Crystal Palace,18,£4.1
Macey,Arsenal,0,£4.0
Maddison,Leicester,0,£4.0
Schwarzer,Leicester,0,£4.0
Woodman,Newcastle,0,£4.0
Darlow,Newcastle,0,£4.0
Elliot,Newcastle,3,£4.0
Rudd,Norwich,0,£4.0
Kean,Norwich,0,£4.0
Gilmartin,Watford,0,£4.0
Rose,West Brom,0,£4.0
Spiegel,West Ham,0,£4.0
Hennessey,Crystal Palace,14,£3.9
,,,
,,,
defenders,,,
Player,Team,Points,Cost
Terry,Chelsea,8,£6.7
Ivanovic,Chelsea,10,£6.6
Otamendi,Man City,12,£6.5
Smalling,Man Utd,51,£6.4
Cahill,Chelsea,18,£6.3
Kompany,Man City,48,£6.3
Baines,Everton,0,£6.2
Kolarov,Man City,54,£6.1
Azpilicueta,Chelsea,31,£6.0
Koscielny,Arsenal,36,£5.9
Bellerín,Arsenal,48,£5.9
Coleman,Everton,21,£5.9
Monreal,Arsenal,47,£5.8
Baba Rahman,Chelsea,7,£5.8
Zabaleta,Man City,3,£5.8
Darmian,Man Utd,35,£5.8
Cresswell,West Ham,38,£5.6
Zouma,Chelsea,32,£5.5
Funes Mori,Everton,5,£5.5
Stones,Everton,26,£5.5
Skrtel,Liverpool,36,£5.5
Clyne,Liverpool,32,£5.5
Mangala,Man City,30,£5.5
van Dijk,Southampton,30,£5.5
Vertonghen,Spurs,36,£5.5
Jagielka,Everton,28,£5.4
Sagna,Man City,50,£5.4
Shaw,Man Utd,27,£5.4
Rojo,Man Utd,16,£5.4
Fonte,Southampton,35,£5.4
Mertesacker,Arsenal,15,£5.3
Clichy,Man City,0,£5.3
Demichelis,Man City,4,£5.3
Caulker,Southampton,7,£5.3
Bertrand,Southampton,5,£5.3
Gibbs,Arsenal,3,£5.2
Debuchy,Arsenal,1,£5.2
Jones,Man Utd,16,£5.2
Valencia,Man Utd,17,£5.2
Alderweireld,Spurs,45,£5.2
Rose,Spurs,19,£5.2
Dier,Spurs,38,£5.2
Dann,Crystal Palace,39,£5.1
Trippier,Spurs,1,£5.1
Dawson,West Brom,45,£5.1
Amavi,Aston Villa,25,£5.0
Schlupp,Leicester,22,£5.0
Mbemba,Newcastle,15,£5.0
Cédric,Southampton,31,£5.0
Walker,Spurs,32,£5.0
Johnson,Stoke,32,£5.0
Naughton,Swansea,30,£5.0
Williams,Swansea,27,£5.0
Taylor,Swansea,30,£5.0
Fernández,Swansea,25,£5.0
McAuley,West Brom,42,£5.0
Jenkinson,West Ham,17,£5.0
Reid,West Ham,22,£5.0
Tomkins,West Ham,25,£5.0
Djilobodji,Chelsea,0,£4.9
Lovren,Liverpool,21,£4.9
Janmaat,Newcastle,13,£4.9
Pieters,Stoke,21,£4.9
Ogbonna,West Ham,15,£4.9
Gabriel,Arsenal,25,£4.8
Bacuna,Aston Villa,11,£4.8
Lescott,Aston Villa,16,£4.8
Sakho,Liverpool,12,£4.8
Shawcross,Stoke,0,£4.8
Chester,West Brom,1,£4.8
Evans,West Brom,28,£4.8
Chambers,Arsenal,6,£4.7
Fuchs,Leicester,14,£4.7
Moreno,Liverpool,23,£4.7
McNair,Man Utd,1,£4.7
Martin,Norwich,31,£4.7
Fazio,Spurs,0,£4.7
Wimmer,Spurs,0,£4.7
Souaré,Crystal Palace,26,£4.6
van Aanholt,Sunderland,7,£4.6
Richards,Aston Villa,23,£4.5
Francis,Bournemouth,26,£4.5
Daniels,Bournemouth,21,£4.5
Galloway,Everton,24,£4.5
de Laet,Leicester,17,£4.5
Gomez,Liverpool,23,£4.5
Flanagan,Liverpool,0,£4.5
Coloccini,Newcastle,7,£4.5
,,,
,,,
,,,
Player,Team,Points,Cost
Haidara,Newcastle,17,£4.5
Mbabu,Newcastle,1,£4.5
Whittaker,Norwich,10,£4.5
Davies,Spurs,21,£4.5
Wilson,Stoke,3,£4.5
Cameron,Stoke,25,£4.5
Tabanou,Swansea,0,£4.5
Britos,Watford,6,£4.5
Cathcart,Watford,34,£4.5
Prödl,Watford,26,£4.5
Nyom,Watford,36,£4.5
Olsson,West Brom,18,£4.5
Crespo,Aston Villa,2,£4.4
Clark,Aston Villa,7,£4.4
Okore,Aston Villa,0,£4.4
Ilori,Aston Villa,0,£4.4
Cook,Bournemouth,23,£4.4
Elphick,Bournemouth,8,£4.4
Ward,Crystal Palace,21,£4.4
Delaney,Crystal Palace,14,£4.4
Benalouane,Leicester,3,£4.4
Morgan,Leicester,18,£4.4
Huth,Leicester,17,£4.4
Touré,Liverpool,0,£4.4
Bassong,Norwich,11,£4.4
Olsson,Norwich,8,£4.4
Gardos,Southampton,0,£4.4
Yedlin,Sunderland,9,£4.4
Jones,Sunderland,22,£4.4
Bartley,Swansea,1,£4.4
Amat,Swansea,0,£4.4
Aké,Watford,12,£4.4
O'Brien,West Ham,0,£4.4
Richardson,Aston Villa,1,£4.3
Hutton,Aston Villa,10,£4.3
Distin,Bournemouth,9,£4.3
