goalkeepers,,,
Player,Team,Points,Cost
Cech,Arsenal,127,£6.0
de Gea,Man Utd,100,£5.6
Hart,Man City,100,£5.5
Courtois,Chelsea,54,£5.2
Lloris,Spurs,105,£5.2
Butland,Stoke,123,£5.2
Forster,Southampton,44,£5.0
Adrián,West Ham,96,£5.0
Howard,Everton,83,£4.9
Mignolet,Liverpool,83,£4.9
Stekelenburg,Southampton,57,£4.9
Foster,West Brom,24,£4.9
Caballero,Man City,5,£4.8
Gomes,Watford,120,£4.8
Ospina,Arsenal,0,£4.7
Begovic,Chelsea,42,£4.7
Fabianski,Swansea,91,£4.7
Schmeichel,Leicester,98,£4.6
Pantilimon,Watford,56,£4.6
Boruc,Bournemouth,85,£4.5
Blackman,Chelsea,0,£4.5
Amelia,Chelsea,0,£4.5
Wright,Man City,0,£4.5
Gazzaniga,Southampton,5,£4.5
Federici,Bournemouth,7,£4.4
Haugaard,Stoke,0,£4.4
Myhill,West Brom,81,£4.4
Randolph,West Ham,16,£4.4
Bunn,Aston Villa,33,£4.3
,,,
,,,
,,,
Player,Team,Points,Cost
Speroni,Crystal Palace,0,£4.3
Robles,Everton,19,£4.3
Bogdan,Liverpool,1,£4.3
Romero,Man Utd,21,£4.3
Johnstone,Man Utd,0,£4.3
Krul,Newcastle,23,£4.3
Given,Stoke,0,£4.3
Mannone,Sunderland,21,£4.3
Guzan,Aston Villa,50,£4.2
Hennessey,Crystal Palace,68,£4.2
Vorm,Spurs,2,£4.2
Nordfeldt,Swansea,0,£4.2
Ruddy,Norwich,40,£4.1
Davis K,Southampton,2,£4.1
Macey,Arsenal,0,£4.0
Stanek,Everton,0,£4.0
Hamer,Leicester,0,£4.0
Ward,Liverpool,0,£4.0
Woodman,Newcastle,0,£4.0
Elliot,Newcastle,59,£4.0
Kean,Norwich,0,£4.0
Gilmartin,Watford,0,£4.0
Maddison,Leicester,0,£3.9
Darlow,Newcastle,3,£3.9
Rudd,Norwich,29,£3.9
Pickford,Sunderland,2,£3.9
Rose,West Brom,0,£3.9
Spiegel,West Ham,0,£3.9
McCarthy,Crystal Palace,18,£3.8
Schwarzer,Leicester,0,£3.8
,,,
,,,
,,,
Player,Team,Points,Cost
Speroni,Crystal Palace,0,£4.3
Robles,Everton,19,£4.3
Bogdan,Liverpool,1,£4.3
Romero,Man Utd,21,£4.3
Johnstone,Man Utd,0,£4.3
Krul,Newcastle,23,£4.3
Given,Stoke,0,£4.3
Mannone,Sunderland,21,£4.3
Guzan,Aston Villa,50,£4.2
Hennessey,Crystal Palace,68,£4.2
Vorm,Spurs,2,£4.2
Nordfeldt,Swansea,0,£4.2
Ruddy,Norwich,40,£4.1
Davis K,Southampton,2,£4.1
Macey,Arsenal,0,£4.0
Stanek,Everton,0,£4.0
Hamer,Leicester,0,£4.0
Ward,Liverpool,0,£4.0
Woodman,Newcastle,0,£4.0
Elliot,Newcastle,59,£4.0
Kean,Norwich,0,£4.0
Gilmartin,Watford,0,£4.0
Maddison,Leicester,0,£3.9
Darlow,Newcastle,3,£3.9
Rudd,Norwich,29,£3.9
Pickford,Sunderland,2,£3.9
Rose,West Brom,0,£3.9
Spiegel,West Ham,0,£3.9
McCarthy,Crystal Palace,18,£3.8
Schwarzer,Leicester,0,£3.8
,,,
,,,
,,,
defenders,,,
Player,Team,Points,Cost
Terry,Chelsea,57,£6.6
Ivanovic,Chelsea,96,£6.6
Smalling,Man Utd,100,£6.6
Otamendi,Man City,71,£6.5
Alderweireld,Spurs,119,£6.4
Koscielny,Arsenal,104,£6.3
Bellerín,Arsenal,105,£6.1
Cahill,Chelsea,38,£6.1
Kompany,Man City,60,£6.1
Baines,Everton,29,£6.0
Kolarov,Man City,88,£6.0
Monreal,Arsenal,105,£5.9
Dann,Crystal Palace,110,£5.9
Azpilicueta,Chelsea,96,£5.8
Coleman,Everton,78,£5.8
Zabaleta,Man City,11,£5.7
Cresswell,West Ham,108,£5.7
Sagna,Man City,99,£5.6
Fonte,Southampton,110,£5.6
van Dijk,Southampton,106,£5.6
Funes Mori,Everton,75,£5.5
Baba Rahman,Chelsea,13,£5.4
Stones,Everton,57,£5.4
Darmian,Man Utd,74,£5.4
Vertonghen,Spurs,72,£5.4
Dier,Spurs,98,£5.4
Skrtel,Liverpool,53,£5.3
Clichy,Man City,30,£5.3
Demichelis,Man City,28,£5.3
Mangala,Man City,39,£5.3
Shaw,Man Utd,27,£5.3
Bertrand,Southampton,81,£5.3
Mertesacker,Arsenal,56,£5.2
Zouma,Chelsea,81,£5.2
Caulker,Liverpool,12,£5.2
Clyne,Liverpool,80,£5.2
Gibbs,Arsenal,24,£5.1
Jagielka,Everton,52,£5.1
Valencia,Man Utd,17,£5.1
